Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
0,2025년01월01일,갈매로,상행,46,42.5,53,53,54,43.5,35,34.5,27,32.5,36,37.5,32,32.5,35.5,33.5,34,25.5,24,25.5,26.5,35.5,44,46.5,37.0625
1,2025년01월01일,갈매로,하행,38.6667,47.3333,51,47.5,48,45,37,36.3333,32,36,36,36,35,34.3333,34.3333,35.6667,36.6667,33.6667,31.6667,29,34,36.3333,40.3333,41,38.0347208
71,2025년01월02일,갈매로,상행,49,49,63,56,47.5,51,40,33,29.5,32.5,36.5,37,35.5,34,32,32.5,30,29,25,29,32,34,37,38,38.0
72,2025년01월02일,갈매로,하행,48,44,53,52.3333,47,40,35,34.3333,27.3333,32.3333,37,35.3333,35.3333,36.6667,36.3333,35,33.3333,32.6667,29.6667,31.6667,33,34,38.3333,39,37.5277708
142,2025년01월03일,갈매로,상행,51.5,50.5,57.5,54.5,51,49.5,45.5,36,32.5,32,34.5,32,34,30.5,32.5,30,28.5,29,23,29.5,29.5,36.5,34,40,37.6666667
143,2025년01월03일,갈매로,하행,42,46.5,51,53.5,47,41,35.6667,34.6667,29.6667,32.3333,38,34.3333,37,34.3333,35.6667,34.6667,31,30.3333,27.6667,32,32.3333,34,34.3333,41.5,37.1041667
215,2025년01월04일,갈매로,상행,49,49,57,48,54,52,47.5,42,36,35,33.5,33.5,33,31,30,29,32,28,28.5,28.5,29.5,34,34.5,40,38.1041667
216,2025년01월04일,갈매로,하행,41.3333,44.6667,46.6667,48.6667,54,40.3333,41.3333,39.6667,36,34.3333,36.6667,36.6667,35,34.6667,33.3333,34.6667,33.6667,31.6667,31,33,32.3333,38.6667,34.6667,39.3333,38.0138958
285,2025년01월05일,갈매로,상행,51,53,52,53.5,47.5,50,40.5,39.5,38,33,36,40,34.5,32.5,30.5,29,34,32,32.5,31.5,35.5,35,41.5,41,39.3125
286,2025년01월05일,갈매로,하행,40.3333,40.6667,46,43,42,50,39,39,37.3333,36.6667,35.3333,37,36,36,34.3333,34.6667,34.3333,34,33.3333,35.6667,33,35.3333,46,45,38.4999958
356,2025년01월06일,갈매로,상행,51.5,48.5,46,49,49.5,46.5,39.5,31.5,26.5,33.5,35.5,32,36.5,34,34.5,29.5,30.5,28,23.5,26.5,30,32.5,36.5,39,36.2708333
357,2025년01월06일,갈매로,하행,48.5,44.5,47.5,40,42,38.6667,34.3333,32.6667,25.6667,31,36.3333,33.6667,35.3333,37.3333,35,33.6667,34,33.3333,30.3333,33,35,34.6667,36,41,36.3958333
427,2025년01월07일,갈매로,상행,55,59,49,44,54,51.5,35.5,36.5,32,30.5,34,30.5,33,29.5,33.5,28.5,30,28.5,25,29,31.5,33.5,33,43.5,37.0833333
428,2025년01월07일,갈매로,하행,43.5,48,40.5,43.5,43.5,42.3333,37.6667,36.3333,28.6667,31.6667,34.6667,36.6667,34.3333,35,37.3333,35.6667,33.6667,31.6667,30.6667,32.6667,34,33.3333,36,38,36.6388958
498,2025년01월08일,갈매로,상행,45,52,56,60,48,50.5,39.5,34.5,29,28,37.5,33,34.5,31,33.5,32.5,30.5,29.5,24.5,28,31.5,31.5,35.5,36,37.1458333
499,2025년01월08일,갈매로,하행,38,49,47,45.5,44.5,38,34.3333,34.3333,27.6667,32,37.3333,34,35,34.3333,34.6667,33,34.3333,32.6667,29,32,32.3333,36,35.6667,36,36.1111083
569,2025년01월09일,갈매로,상행,45,44.5,29,53,48.5,42,40.5,31.5,28.5,28,35,32.5,33.5,31.5,31.5,30,29,28.5,22.5,29,29,31,35.5,36,34.375
570,2025년01월09일,갈매로,하행,31.6667,32.5,39,36,43.5,34.3333,32.3333,33.3333,27,31,35.3333,32.6667,33.3333,35.6667,35,34.3333,33.3333,32,28.3333,31.3333,31.6667,31,37,31.3333,33.458325
640,2025년01월10일,갈매로,상행,54,48,40.5,49,46.5,44,38.5,35,28.5,30,33,31.5,32.5,27,31.5,29.5,31,28.5,22,30.5,29.5,28.5,33,36.5,34.9375
641,2025년01월10일,갈매로,하행,44,46.3333,46,40,41,39,33.6667,34.3333,28,31.3333,36,36,35.3333,34.6667,34.6667,33.6667,32.3333,31,28,33,33,35,35,37.3333,35.777775
