Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
4,2025년01월01일,달빛로,상행,16,14,11,-,-,-,11,-,14.5,15,19,13.5,16.5,15,16,15.5,18.5,17.5,16.5,16.5,16,15,13,-,15.2631579
5,2025년01월01일,달빛로,하행,-,-,-,-,-,-,-,-,-,-,-,10,19,22,22,-,18,21,16,13,-,25,-,-,18.4444444
75,2025년01월02일,달빛로,상행,-,30,-,-,18,17,14,15.5,15.5,16.5,16.5,20.5,20,14.5,16.5,17.5,14.5,14.5,11,12,14.5,18,15,16,16.547619
76,2025년01월02일,달빛로,하행,-,-,-,-,-,-,-,13,13,13,19,14,-,19,16,18,15,11,14,11,16,-,12,-,14.5714286
146,2025년01월03일,달빛로,상행,17,-,-,-,20,18.5,16,13.5,15,12.5,16.5,18,19,16.5,15.5,17.5,16,14,13.5,14,16.5,14,18,17,16.1190476
147,2025년01월03일,달빛로,하행,-,-,-,-,-,-,-,17,20,15,11,17,17,16,18,16,19,19,19,14,15,17,18,-,16.75
219,2025년01월04일,달빛로,상행,18,11,-,-,-,15,22,17,15,17,15.5,18.5,15,16.5,17,16.5,14.5,15.5,14,13.5,15,15,17,18,16.0238095
220,2025년01월04일,달빛로,하행,-,-,-,-,-,-,-,13,24,-,10,17,17,19,13,16,15,12,12,15,15,20,-,-,15.5714286
289,2025년01월05일,달빛로,상행,18,-,-,-,-,-,-,13,16.5,17,18,18.5,19,14,17.5,16,15.5,13,13.5,16.5,17,12,15,15,15.8333333
290,2025년01월05일,달빛로,하행,13,-,-,-,-,-,-,-,21,15,-,14,-,20,13,12,14,19,16,25,19,20,-,-,17.0
360,2025년01월06일,달빛로,상행,-,14,-,-,-,21,12,19,16,16,15.5,15,16.5,15,20,13.5,14,13.5,14,12,14,16,14,20,15.55
361,2025년01월06일,달빛로,하행,-,-,-,-,-,-,-,13,14,14,16,14,14,15,20,18,15,16,19,-,21,14,15,-,15.8666667
431,2025년01월07일,달빛로,상행,15.5,-,21,-,-,16.5,14,15.5,15,16.5,21,15.5,17.5,14,16.5,16,19.5,15,14.5,14.5,14,14,16,-,16.1
432,2025년01월07일,달빛로,하행,-,-,-,-,-,-,26,11,15,15,19,-,20,17,16,16,16,15,16,-,17,17,20,-,17.0666667
502,2025년01월08일,달빛로,상행,15,-,-,-,-,17,19,16,14.5,14.5,16.5,15.5,16,15,16.5,15.5,13.5,13.5,12,16,13,16,14,16.5,15.275
503,2025년01월08일,달빛로,하행,-,-,-,-,-,-,25,13,14,16,16,19,19,18,19,15,15,15,16,18,18,19,-,12,16.8823529
573,2025년01월09일,달빛로,상행,12.5,-,-,-,14,-,19,18.5,17,16,16,16.5,18,15,16.5,17.5,15,14.5,16.5,14.5,11.5,15.5,16,13,15.65
574,2025년01월09일,달빛로,하행,-,-,-,-,-,-,20,14,23,19,17,16,20,14,14,16,15,14,16,17,13,22,-,-,16.875
644,2025년01월10일,달빛로,상행,16,-,17,-,-,13.5,18,14,15,15,23,16,17.5,16.5,16.5,18.5,15,16,13.5,13.5,13,16,15.5,15.5,15.9285714
645,2025년01월10일,달빛로,하행,-,-,-,-,-,-,-,21,13,16,14,15,19,20,17,16,16,15,16,17,14,15,15,-,16.1875
715,2025년01월11일,달빛로,상행,19,15,11,-,-,-,16,18,15,15,16.5,13.5,15,16.5,17,16,15.5,17,15,17,17,17,14.5,15,15.7857143
716,2025년01월11일,달빛로,하행,-,-,-,-,-,12,-,13,25,13,17,13,15,18,17,15,16,14,13,18,10,-,12,16,15.1176471
786,2025년01월12일,달빛로,상행,19,17,-,-,12,13,21,-,19,18,20.5,15.5,17.5,15.5,14.5,15.5,15.5,16,15,18.5,14,14,14,16.5,16.2619048
787,2025년01월12일,달빛로,하행,-,-,-,-,-,-,-,-,14,14,19,16,19,19,20,11,18,15,18,19,17,-,-,-,16.8461538
857,2025년01월13일,달빛로,상행,-,-,-,-,-,21,16,15.5,17,19,25,16,15,14,14.5,21,18.5,13.5,15,13,14,17,15,16,16.6315789
858,2025년01월13일,달빛로,하행,-,-,-,-,-,-,-,13,16,19,14,17,23,18,15,15,17,13,17,16,18,20,21,-,17.0
928,2025년01월14일,달빛로,상행,12,-,-,-,-,22,15,10.5,17.5,19.5,16.5,17,17,17,14,17.5,14.5,17,14,13.5,23.5,16,15,17,16.3
929,2025년01월14일,달빛로,하행,-,-,-,-,-,-,-,16,15,21,14,13,19,-,16,17,15,17,18,18,17,11,13,11,15.6875
999,2025년01월15일,달빛로,상행,20,-,-,-,-,20,14,14,16.5,17,15.5,16.5,13,17,16,15.5,15.5,14.5,13,14.5,15,12,16,-,15.5526316
1000,2025년01월15일,달빛로,하행,-,-,-,-,-,-,-,22,15,17,15,11,19,13,17,17,14,17,20,16,16,17,18,-,16.5
1070,2025년01월16일,달빛로,상행,24,-,-,-,-,-,14.5,17,16.5,18,17.5,17,16.5,15,15.5,15,15.5,14.5,15,13.5,12,14,16,16,15.9473684
