Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
7383,2025년04월16일,당산로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,39,45,-,-,-,-,47,48,49,46.8333333
7384,2025년04월16일,당산로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,43,47,-,-,-,-,47,52,54,48.0
7462,2025년04월17일,당산로,상행,50,47,49,-,-,52,39,47,48,49,40,-,-,-,-,64,78,-,47,48,50,48,56,50,50.7058824
7463,2025년04월17일,당산로,하행,55,52,57,-,-,-,46,49,47,44,46,-,-,-,-,52,-,-,47,48,48,48,52,50,49.4
7541,2025년04월18일,당산로,상행,47,55,47,52,53,49,46,49,48,46,48,39,45,-,43,47,47,51,51,47,48,48,41,70,48.5652174
7542,2025년04월18일,당산로,하행,48,56,56,48,49,52,48,48,49,48,46,60,42,-,54,46,46,48,51,47,48,49,32,39,48.2608696
7627,2025년04월19일,당산로,상행,50,49,49,52,51,50,47,51,48,48,52,-,-,-,-,-,48,54,43,49,49,53,46,48,49.3157895
7628,2025년04월19일,당산로,하행,59,49,47,47,47,55,48,48,48,46,47,-,-,-,-,-,54,45,46,36,45,49,49,47,48.0
7713,2025년04월20일,당산로,상행,54,48,50,53,45,51,47,48,50,48,49,49,49,47,35,-,58,49,49,49,49,48,48,52,48.9130435
7714,2025년04월20일,당산로,하행,48,51,46,41,50,49,54,49,49,50,49,49,49,47,41,-,57,46,47,49,48,46,53,55,48.826087
7795,2025년04월21일,당산로,상행,48,46,33,55,50,47,48,51,48,47,44,-,26,40,49,46,46,20,37,40,48,50,44,47,43.9130435
7796,2025년04월21일,당산로,하행,57,53,52,53,48,51,49,47,50,48,46,-,30,37,46,45,47,24,42,46,47,47,53,60,46.8695652
7881,2025년04월22일,당산로,상행,48,49,52,49,40,49,45,42,42,39,40,39,38,41,40,39,42,43,46,47,45,47,50,48,44.1666667
7882,2025년04월22일,당산로,하행,44,54,50,52,51,51,46,42,44,42,43,40,41,41,43,42,43,45,44,44,40,46,54,55,45.7083333
7967,2025년04월23일,당산로,상행,50,54,46,35,46,50,48,49,48,47,47,47,52,-,-,61,69,70,56,47,46,48,55,49,50.9090909
7968,2025년04월23일,당산로,하행,45,52,45,44,45,51,46,48,49,47,47,46,48,-,-,63,73,73,57,48,49,48,56,58,51.7272727
8053,2025년04월24일,당산로,상행,48,46,50,47,45,48,47,47,47,47,47,47,-,-,-,-,-,-,45,49,48,48,50,50,47.5555556
8054,2025년04월24일,당산로,하행,53,60,53,44,48,53,49,48,48,46,46,47,-,-,-,-,-,-,50,47,48,47,52,52,49.5
8140,2025년04월25일,당산로,상행,54,44,40,47,52,48,47,47,46,48,44,46,47,46,47,48,46,47,47,48,48,50,48,49,47.25
8141,2025년04월25일,당산로,하행,51,53,52,55,49,51,46,48,47,47,46,46,46,48,45,46,45,46,48,47,47,49,51,51,48.3333333
8227,2025년04월26일,당산로,상행,53,48,41,49,49,51,47,45,48,46,45,46,47,47,43,-,-,47,49,47,46,47,48,45,47.0
