Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
6,2025년01월01일,대평로,상행,10,16,14,-,-,-,10,14,14.5,13,14.5,16.5,13,14.5,13.5,12.5,13.5,14,12,13.5,12,13.5,13,12,13.3095238
7,2025년01월01일,대평로,하행,14,-,-,-,-,-,13,11,13,12,12.5,12,14,14,13,12.5,11.5,13,12.5,12.5,17.5,14,13,-,13.0555556
77,2025년01월02일,대평로,상행,-,-,-,-,-,-,26,21.5,13,13.5,13.5,13.5,13,12.5,14,14,12.5,13,13.5,12.5,13,16.5,11,11,14.3055556
78,2025년01월02일,대평로,하행,11,14,-,-,-,15,15,16.5,12.5,13.5,11.5,13.5,13,14,13,11,12,12,12.5,14,12,12.5,16,11.5,13.1428571
148,2025년01월03일,대평로,상행,22,-,-,-,-,11,14,14.5,14.5,14.5,13.5,14.5,14,13,13.5,13,13.5,13.5,12.5,13,13,15,14,12,13.925
149,2025년01월03일,대평로,하행,20,10,-,-,-,15,10.5,14,13.5,13.5,13.5,13,12,13,13.5,12,11.5,13.5,12.5,13,12.5,12.5,13.5,13,13.1190476
221,2025년01월04일,대평로,상행,13,-,-,-,-,11,13,15.5,16.5,16.5,15,12.5,13.5,13,13.5,14.5,13,12.5,14.5,16,13,14,13,-,13.8684211
222,2025년01월04일,대평로,하행,14,-,-,-,-,-,17,13,12,12,14,12.5,11.5,11.5,13,13.5,12.5,12.5,12.5,13,13,15,15,15,13.2894737
291,2025년01월05일,대평로,상행,26,-,13,-,-,-,10,15,15,14.5,17.5,15,14,12.5,13.5,15.5,12.5,13.5,13,15.5,13,13,-,17,14.6842105
292,2025년01월05일,대평로,하행,17,14,-,-,14,-,-,12.5,17,13,12.5,14.5,11.5,11.5,12.5,17,12,13.5,13.5,13.5,15,12.5,16,-,13.8421053
362,2025년01월06일,대평로,상행,-,-,-,-,-,25,12,17,14,13,15,13,13,14.5,14,13.5,13.5,12.5,13,13.5,15,15,21.5,11,14.6842105
363,2025년01월06일,대평로,하행,-,11,-,-,-,-,15,13,13,12,13,13,13,12.5,13.5,12,12.5,12,13,13,12.5,13,15,15,13.0
433,2025년01월07일,대평로,상행,20,-,-,-,-,-,20,15.5,13,15.5,13.5,13,12.5,13,12.5,14,13,13.5,14.5,14,14.5,13.5,13,16,14.4473684
