Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
8,2025년01월01일,미리내로,상행,37,35,48,43,45,47,39,34,37,34,36,36,39,37,38,41,37,34,32,33,34,37,40,40,38.0416667
9,2025년01월01일,미리내로,하행,26,31,35,42,32,35,37,39,29,33,31,31,30,30,31,31,30,31,32,32,32,34,30,36,32.5
79,2025년01월02일,미리내로,상행,44,50,39,46,49,47,41,35,28,36,37,37,38,37,39,39,35,29,34,35,34,36,42,40,38.625
80,2025년01월02일,미리내로,하행,30,32,-,-,29,33,32,29,31,31,31,32,31,32,32,31,32,26,25,26,27,31,31,31,30.2272727
150,2025년01월03일,미리내로,상행,41,40,45,30,43,45,38,35,28,31,35,38,36,39,38,37,29,27,25,33,36,35,41,42,36.125
151,2025년01월03일,미리내로,하행,33,28,34,31,-,38,31,28,30,27,32,27,31,32,31,34,30,25,24,25,26,33,31,30,30.0434783
223,2025년01월04일,미리내로,상행,32,45,42,38,42,41,42,39,38,35,34,30,35,36,35,34,33,34,33,34,39,37,38,43,37.0416667
224,2025년01월04일,미리내로,하행,38,34,32,26,36,37,33,32,32,31,29,32,28,33,30,31,30,32,29,31,31,32,34,40,32.2083333
293,2025년01월05일,미리내로,상행,39,39,57,54,29,41,36,40,39,34,35,37,40,36,37,33,37,35,35,38,38,39,39,49,39.0
294,2025년01월05일,미리내로,하행,33,35,35,24,-,38,29,32,35,32,29,31,31,30,32,30,31,32,31,33,31,33,31,34,31.826087
364,2025년01월06일,미리내로,상행,48,-,46,42,44,40,40,33,25,33,38,40,36,41,36,36,34,33,34,35,34,35,39,41,37.5217391
365,2025년01월06일,미리내로,하행,36,-,42,26,27,30,31,28,30,31,30,30,31,34,30,31,30,27,26,24,25,30,35,32,30.2608696
435,2025년01월07일,미리내로,상행,40,43,32,40,44,39,43,35,30,36,38,39,39,38,37,39,30,30,31,35,34,34,41,42,37.0416667
436,2025년01월07일,미리내로,하행,28,29,-,-,35,38,28,32,31,31,32,33,32,31,32,33,30,27,25,24,26,29,27,32,30.2272727
506,2025년01월08일,미리내로,상행,34,45,42,38,41,40,41,36,28,33,36,38,41,36,41,37,36,31,34,32,36,34,37,29,36.5
507,2025년01월08일,미리내로,하행,34,31,41,35,22,35,33,31,32,28,31,34,31,31,31,31,30,26,25,25,27,29,30,26,30.375
577,2025년01월09일,미리내로,상행,38,33,32,43,44,41,41,37,29,33,34,40,39,37,37,38,33,35,31,34,38,35,38,39,36.625
578,2025년01월09일,미리내로,하행,29,36,38,-,35,36,26,28,30,31,30,32,32,33,29,31,32,25,25,26,25,33,36,31,30.826087
648,2025년01월10일,미리내로,상행,32,42,42,38,43,40,39,36,32,34,35,39,39,38,40,36,31,23,29,28,34,35,38,41,36.0
649,2025년01월10일,미리내로,하행,30,27,37,26,22,36,33,30,31,31,30,29,31,30,32,30,29,26,24,26,25,29,32,30,29.4166667
719,2025년01월11일,미리내로,상행,47,49,40,38,39,46,40,38,37,36,30,32,32,34,32,33,33,34,32,36,36,37,39,39,37.0416667
720,2025년01월11일,미리내로,하행,31,42,29,-,38,38,34,32,31,32,30,31,32,32,31,31,30,30,31,32,32,33,33,34,32.5652174
790,2025년01월12일,미리내로,상행,37,48,26,41,41,25,38,39,39,38,39,38,40,40,38,36,36,35,37,36,38,38,42,41,37.75
791,2025년01월12일,미리내로,하행,28,32,-,27,29,30,33,39,36,28,31,32,31,32,31,30,32,32,31,31,32,31,32,34,31.4782609
861,2025년01월13일,미리내로,상행,45,31,36,43,42,41,40,33,31,36,39,38,37,37,39,37,34,31,35,34,34,38,39,43,37.2083333
862,2025년01월13일,미리내로,하행,32,35,36,16,46,44,33,32,31,33,35,32,31,33,31,32,30,27,25,26,27,31,30,36,31.8333333
932,2025년01월14일,미리내로,상행,38,26,38,42,42,43,36,35,27,29,37,37,38,38,39,36,34,30,27,30,35,35,44,41,35.7083333
933,2025년01월14일,미리내로,하행,36,-,35,27,29,38,31,29,32,31,30,32,33,31,31,32,27,28,27,26,28,32,31,42,31.2173913
1003,2025년01월15일,미리내로,상행,35,42,39,42,43,44,44,38,31,31,37,36,41,38,38,38,31,27,27,31,35,34,32,-,36.2608696
1004,2025년01월15일,미리내로,하행,29,20,28,21,30,35,27,28,32,29,32,33,32,31,31,32,31,27,26,27,30,33,31,-,29.3478261
1074,2025년01월16일,미리내로,상행,43,43,-,46,40,42,41,39,31,37,39,40,40,40,38,38,31,31,35,34,34,34,37,40,37.9565217
1075,2025년01월16일,미리내로,하행,25,39,30,31,-,30,30,31,30,29,29,31,31,31,31,32,33,28,25,26,25,34,34,33,30.3478261
1145,2025년01월17일,미리내로,상행,46,29,44,39,40,41,40,35,31,32,38,38,37,38,35,33,28,24,22,31,32,35,41,40,35.375
1146,2025년01월17일,미리내로,하행,36,27,25,31,46,36,31,32,31,31,33,31,31,33,29,29,29,26,24,27,28,30,29,31,30.6666667
1216,2025년01월18일,미리내로,상행,43,46,32,42,42,39,44,39,37,31,28,30,32,32,24,33,31,32,33,38,36,38,40,41,35.9583333
1217,2025년01월18일,미리내로,하행,35,31,33,29,33,41,34,32,30,29,28,31,29,32,28,29,29,31,31,32,30,32,29,35,31.375
1287,2025년01월19일,미리내로,상행,35,40,58,42,45,44,36,42,37,35,36,34,38,37,36,36,37,35,36,36,35,39,37,37,38.4583333
1288,2025년01월19일,미리내로,하행,35,36,30,31,43,30,35,35,33,34,33,31,30,32,31,30,30,32,31,34,30,36,34,34,32.9166667
1358,2025년01월20일,미리내로,상행,51,41,47,38,44,43,33,28,28,28,38,45,38,37,35,37,34,32,33,31,33,33,39,40,36.9166667
1359,2025년01월20일,미리내로,하행,35,-,42,46,33,36,30,31,30,33,32,33,30,30,33,31,30,29,28,30,30,30,35,32,32.5652174
1430,2025년01월21일,미리내로,상행,46,40,47,48,46,44,39,37,31,32,33,32,39,34,-,-,29,31,29,27,-,33,38,37,36.7619048
1431,2025년01월21일,미리내로,하행,32,40,25,35,32,33,31,32,31,30,32,31,36,29,-,-,30,28,27,25,-,27,32,28,30.7619048
1501,2025년01월22일,미리내로,상행,41,43,42,42,44,41,43,29,30,33,-,-,-,-,-,-,28,28,32,31,-,-,36,40,36.4375
1502,2025년01월22일,미리내로,하행,33,37,28,40,23,33,31,33,32,30,-,-,-,-,-,-,31,28,27,27,-,-,29,33,30.9375
1572,2025년01월23일,미리내로,상행,33,43,44,45,44,42,40,36,28,30,37,38,38,38,39,37,30,27,25,33,35,33,41,39,36.4583333
1573,2025년01월23일,미리내로,하행,32,27,50,44,29,33,30,30,31,31,33,32,32,31,33,29,29,27,24,27,26,33,34,30,31.5416667
1643,2025년01월24일,미리내로,상행,46,36,38,43,42,41,38,37,31,32,38,37,36,35,36,33,22,18,21,27,36,36,38,38,34.7916667
1644,2025년01월24일,미리내로,하행,29,32,34,-,29,39,33,32,32,30,32,33,31,31,29,31,29,27,25,25,25,28,31,33,30.4347826
1714,2025년01월25일,미리내로,상행,38,33,46,49,44,46,38,41,38,35,31,30,28,35,35,36,27,27,37,37,37,34,41,42,36.875
1715,2025년01월25일,미리내로,하행,30,32,28,31,26,40,29,32,32,30,30,30,30,29,29,29,29,31,30,31,31,31,31,34,30.625
1785,2025년01월26일,미리내로,상행,40,37,36,44,45,43,39,38,41,37,35,35,36,36,36,37,35,35,36,36,37,37,36,40,37.7916667
1786,2025년01월26일,미리내로,하행,34,29,31,-,41,28,36,34,30,32,29,30,29,30,28,30,31,30,29,32,31,35,31,30,31.3043478
1856,2025년01월27일,미리내로,상행,43,36,33,35,50,43,37,38,36,37,36,32,36,36,36,38,36,34,34,33,33,31,34,33,36.25
1857,2025년01월27일,미리내로,하행,32,30,28,-,-,35,29,32,32,28,28,30,30,31,31,30,32,26,25,29,27,23,27,31,29.3636364
1927,2025년01월28일,미리내로,상행,33,30,32,29,30,34,30,34,36,36,36,38,39,35,38,39,41,34,35,35,34,37,35,31,34.625
1928,2025년01월28일,미리내로,하행,24,23,-,27,-,-,24,24,31,28,30,32,27,31,33,30,30,28,27,29,26,32,27,28,28.1428571
1997,2025년01월29일,미리내로,상행,33,27,-,27,37,33,39,38,37,38,40,39,35,40,37,36,37,34,35,35,37,39,42,43,36.4347826
1998,2025년01월29일,미리내로,하행,26,32,27,-,25,23,25,30,31,29,30,29,30,28,28,29,29,25,27,27,28,31,33,32,28.4347826
2066,2025년01월30일,미리내로,상행,43,43,55,-,-,33,41,36,40,39,41,40,37,37,35,38,34,32,33,35,36,39,37,38,38.2727273
2067,2025년01월30일,미리내로,하행,31,-,43,20,-,36,44,32,29,29,29,33,29,30,30,28,29,27,25,29,27,33,32,34,30.8636364
2137,2025년01월31일,미리내로,상행,43,32,52,44,43,43,42,39,35,37,37,36,37,37,37,32,33,30,36,33,34,36,34,40,37.5833333
2138,2025년01월31일,미리내로,하행,28,39,-,-,35,36,31,32,31,29,32,31,30,30,30,28,29,26,26,27,25,31,33,34,30.5909091
2208,2025년02월01일,미리내로,상행,46,49,48,48,42,41,39,38,37,35,38,36,32,35,35,38,34,34,35,38,35,36,39,41,38.7083333
2209,2025년02월01일,미리내로,하행,33,36,36,-,31,37,36,34,33,32,29,31,31,31,30,30,31,32,31,30,31,36,33,35,32.5652174
2279,2025년02월02일,미리내로,상행,48,44,36,42,29,45,38,39,36,36,37,35,35,35,35,36,37,38,36,37,38,38,40,40,37.9166667
2280,2025년02월02일,미리내로,하행,32,31,-,-,-,31,37,33,34,33,33,32,31,30,29,29,32,33,31,33,32,32,33,34,32.1428571
2350,2025년02월03일,미리내로,상행,46,41,43,46,45,44,39,36,33,37,36,38,41,35,39,36,33,35,34,34,33,38,37,33,38.0
2351,2025년02월03일,미리내로,하행,31,37,-,34,32,36,31,32,30,32,32,32,32,31,33,31,30,28,26,26,27,31,32,28,31.0434783
2421,2025년02월04일,미리내로,상행,43,45,48,45,34,39,38,34,30,31,37,38,39,35,37,38,31,27,33,31,35,35,39,36,36.5833333
2422,2025년02월04일,미리내로,하행,33,43,-,27,37,32,31,29,32,33,31,30,31,33,34,34,33,30,27,26,31,29,32,32,31.7391304
2492,2025년02월05일,미리내로,상행,48,37,44,49,40,43,39,36,31,31,36,38,38,37,36,35,31,30,27,24,36,36,35,41,36.5833333
2493,2025년02월05일,미리내로,하행,34,32,28,44,35,36,33,30,31,32,31,30,33,32,31,32,31,27,26,27,26,28,29,37,31.4583333
2563,2025년02월06일,미리내로,상행,43,49,50,38,37,41,36,37,30,34,35,37,36,40,37,38,31,29,31,32,35,31,34,41,36.75
2564,2025년02월06일,미리내로,하행,41,30,-,30,30,34,29,30,30,31,28,31,30,31,34,32,31,26,24,26,27,29,27,28,29.9565217
2634,2025년02월07일,미리내로,상행,43,44,32,35,39,39,38,37,29,32,31,25,34,36,36,37,29,29,37,34,36,34,36,35,34.875
2635,2025년02월07일,미리내로,하행,34,34,39,38,42,42,31,28,30,28,28,23,31,32,30,32,31,27,25,25,26,30,31,26,30.9583333
2705,2025년02월08일,미리내로,상행,38,43,44,44,39,39,41,38,37,36,35,32,33,36,32,33,30,34,31,33,36,35,39,41,36.625
2706,2025년02월08일,미리내로,하행,32,23,43,33,27,32,36,30,32,28,33,29,32,31,31,31,29,31,33,35,30,34,35,33,31.7916667
2776,2025년02월09일,미리내로,상행,34,42,44,33,45,42,40,40,35,35,37,38,38,35,37,38,39,35,37,35,39,37,37,37,37.875
2777,2025년02월09일,미리내로,하행,34,36,28,42,32,37,34,37,34,32,29,30,32,31,31,30,30,32,31,31,32,31,35,34,32.7083333
2847,2025년02월10일,미리내로,상행,39,42,44,41,41,42,40,34,29,34,36,39,38,38,38,34,34,33,33,33,35,37,40,42,37.3333333
2848,2025년02월10일,미리내로,하행,36,35,43,22,29,32,34,31,31,29,30,32,32,31,30,32,30,28,25,26,26,30,35,32,30.875
2918,2025년02월11일,미리내로,상행,48,36,44,43,42,44,38,36,29,33,34,37,36,37,36,36,31,29,30,32,33,35,37,43,36.625
2919,2025년02월11일,미리내로,하행,31,36,-,31,32,33,29,31,31,31,31,33,29,32,32,32,31,25,25,26,27,30,30,33,30.4782609
2989,2025년02월12일,미리내로,상행,47,48,46,57,36,41,35,23,19,26,34,37,37,39,35,34,33,34,34,31,33,34,40,43,36.5
2990,2025년02월12일,미리내로,하행,31,38,51,-,25,42,26,26,28,29,31,33,31,32,33,33,28,28,26,26,29,28,30,33,31.173913
3060,2025년02월13일,미리내로,상행,50,-,-,-,39,45,37,36,32,28,34,34,38,36,37,34,24,32,24,29,34,38,39,44,35.4285714
3061,2025년02월13일,미리내로,하행,-,-,-,-,12,34,35,31,31,30,30,31,30,33,32,29,30,27,26,27,26,31,32,33,29.5
3133,2025년02월14일,미리내로,상행,45,40,47,46,46,41,38,37,31,32,35,36,37,38,35,29,23,24,17,24,36,36,38,37,35.3333333
3134,2025년02월14일,미리내로,하행,30,30,42,-,49,34,34,33,30,30,32,30,33,33,30,29,30,27,21,24,28,31,33,34,31.6086957
3206,2025년02월15일,미리내로,상행,42,47,35,36,40,44,42,39,37,33,30,25,27,34,30,27,23,24,32,36,36,38,42,38,34.875
3207,2025년02월15일,미리내로,하행,28,26,46,35,-,39,31,34,32,30,29,31,30,31,31,30,31,30,28,31,31,33,30,30,31.6086957
3277,2025년02월16일,미리내로,상행,32,44,39,43,51,43,39,38,38,36,35,32,36,36,33,34,35,34,35,36,33,39,36,36,37.2083333
3278,2025년02월16일,미리내로,하행,31,29,-,22,31,32,30,33,36,33,34,33,31,30,29,29,30,30,32,32,33,34,36,36,31.5652174
3348,2025년02월17일,미리내로,상행,41,50,44,41,43,42,40,36,24,28,35,39,36,39,38,33,30,30,25,31,36,41,34,41,36.5416667
3349,2025년02월17일,미리내로,하행,25,28,-,-,39,35,31,29,31,29,32,31,31,30,32,32,30,26,27,26,27,34,33,32,30.4545455
3419,2025년02월18일,미리내로,상행,42,48,42,50,38,44,40,34,24,27,35,38,39,36,38,36,27,27,32,32,34,-,38,37,36.4347826
3420,2025년02월18일,미리내로,하행,34,26,38,32,31,34,33,30,29,30,29,35,30,32,31,31,32,26,26,26,25,-,26,32,30.3478261
3492,2025년02월19일,미리내로,상행,33,31,45,46,40,41,39,33,26,31,33,36,35,38,38,39,24,28,23,33,33,38,37,44,35.1666667
3493,2025년02월19일,미리내로,하행,42,32,41,-,33,36,33,30,29,29,30,31,36,32,30,32,32,27,25,25,28,32,27,31,31.4347826
3565,2025년02월20일,미리내로,상행,44,40,39,51,49,40,40,34,25,30,37,38,38,35,36,34,33,24,29,33,33,38,37,38,36.4583333
3566,2025년02월20일,미리내로,하행,30,34,19,-,33,35,35,32,30,30,33,33,33,33,32,31,30,27,26,26,28,31,29,27,30.3043478
3636,2025년02월21일,미리내로,상행,39,37,41,52,36,48,39,34,29,32,37,34,36,35,34,32,24,22,24,32,34,35,36,38,35.0
3637,2025년02월21일,미리내로,하행,28,31,29,35,49,36,32,31,32,29,30,31,31,32,30,31,30,25,23,23,26,30,33,32,30.7916667
3707,2025년02월22일,미리내로,상행,47,39,32,38,41,39,42,35,37,31,24,28,28,27,32,27,27,26,32,34,36,37,35,37,33.7916667
3708,2025년02월22일,미리내로,하행,31,36,33,40,-,31,28,30,30,31,30,29,29,32,31,32,30,31,31,34,32,30,30,30,31.3478261
3778,2025년02월23일,미리내로,상행,41,40,43,38,40,44,38,40,37,35,37,34,36,36,38,37,34,37,35,35,35,41,40,40,37.9583333
