Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
14,2025년01월01일,보람동로,상행,16.3333,18,19.5,-,24,-,17.5,17,17.6667,15.6667,17,16,17,18.3333,16.6667,15.6667,15.6667,16.6667,16,16.3333,19,18,17,13.5,17.20455
15,2025년01월01일,보람동로,하행,20.6667,25.3333,20,13,21,20.3333,16.3333,17.3333,16.6667,18.3333,18,17.6667,17,16.3333,16.6667,17.3333,16.6667,17.6667,18,17.6667,19,19.3333,21.3333,22,18.4861083
85,2025년01월02일,보람동로,상행,26,20,13,-,-,18.5,22,18.3333,15.6667,17.6667,14.6667,15.3333,19,19,16,16.3333,15,16.3333,16.6667,17,15.6667,17.3333,20.5,19.6667,17.7121227
86,2025년01월02일,보람동로,하행,26,11,25,-,22,16.3333,18.3333,16.3333,16.3333,16,17.6667,17,17.3333,15.6667,16,17.3333,16,16,16.6667,17.3333,18.3333,18,20.6667,16.3333,17.7246304
156,2025년01월03일,보람동로,상행,21.5,13.5,-,-,-,20.5,15.3333,18,18,15.3333,16.6667,16.3333,16.3333,16.6667,16,15.6667,16.6667,16.6667,16.6667,15.3333,16.6667,16,16.6667,23,17.0238143
157,2025년01월03일,보람동로,하행,23.3333,22,-,-,22,17.6667,18,16.6667,16.6667,16.6667,17.3333,17,16.6667,17.6667,16.3333,16.3333,16.3333,16.6667,15.6667,16,18.6667,18,19.6667,20,17.9697045
228,2025년01월04일,보람동로,상행,18.3333,21.5,14,-,26,32.5,19.5,16.3333,15.6667,15,18.5,16.6667,15,15.3333,18.5,18,16.6667,17.3333,15.3333,16,17,19,17.5,18.5,18.1811565
229,2025년01월04일,보람동로,하행,23.5,17,16,13,12,17.3333,18.6667,18,17.6667,17,17.3333,16.6667,17,16.6667,16.3333,18.3333,17,16.6667,17,17.6667,17,19.6667,19.3333,19.6667,17.3541708
299,2025년01월05일,보람동로,상행,18.5,22.5,-,-,25,25,19,18.3333,17,18,16,17.6667,16.6667,16.6667,17.6667,18.6667,16,17.3333,15,17,17.6667,15,17.3333,19,18.2272773
300,2025년01월05일,보람동로,하행,23.3333,16,14,-,23,18,16.6667,17,18,16.6667,17,18,16.6667,17.3333,16.6667,17,17,17.3333,17.6667,17.6667,19,19.6667,20.6667,23,18.1449348
370,2025년01월06일,보람동로,상행,11.5,-,-,18,-,20.5,20.5,17,16.6667,16.3333,15.3333,17.3333,17,16,17.3333,15.6667,16.3333,15.6667,15.6667,16.3333,17.3333,16.6667,19,21,17.0079333
371,2025년01월06일,보람동로,하행,16.5,57,-,-,11,19,19.6667,16,16,16,17.6667,17.3333,17.3333,16,17.6667,17.3333,15.6667,16.3333,15.6667,16.3333,18.3333,19.3333,21,18,18.8712091
441,2025년01월07일,보람동로,상행,24,29,-,-,-,14,17,17.3333,17.3333,16.6667,16.6667,16,15.6667,15.3333,17,17,16,16.6667,15.6667,17,16.3333,21.5,19,14.6667,17.6111143
442,2025년01월07일,보람동로,하행,20.6667,13,15,-,12,18,19,17.6667,16,16.6667,16.6667,16,17,16.6667,16.6667,17.3333,15.3333,17,15,16.6667,17.6667,17,20.6667,20,16.8550826
512,2025년01월08일,보람동로,상행,24,-,-,-,-,19,20,18,18,17.3333,16,18,16.6667,14.3333,18.3333,16.5,16,17,16.6667,15.3333,16,17,15.6667,17,17.341665
513,2025년01월08일,보람동로,하행,20.6667,23.5,-,-,21.6667,20.6667,18,17,15.6667,17,17.6667,17.6667,16.3333,17,17,15.6667,16.6667,16.3333,16,16.6667,18,18,19.3333,17,17.8863727
583,2025년01월09일,보람동로,상행,20.5,17,-,-,27,13,20.5,17.3333,17,15,18.5,16.3333,16.3333,14.6667,15.6667,16.6667,16,15.6667,16.6667,17.3333,17.6667,14.3333,19.5,17,17.2575773
584,2025년01월09일,보람동로,하행,16.3333,23,-,14,-,17.6667,16.6667,17,16,16,17.6667,15.6667,17.3333,16.3333,16.3333,17.6667,17,17,14.6667,17,18.6667,18,20.3333,20.3333,17.3030318
