Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
16,2025년01월01일,보람서로,상행,28,17,28,22,19,-,25,25,22,22,19,19,20,19,18,17,17,18,19,22,21,26,26,32,21.7826087
17,2025년01월01일,보람서로,하행,25,33,30,15,-,-,27,27,25,27,29,24,27,27,25,28,27,25,21,24,24,20,28,23,25.5
87,2025년01월02일,보람서로,상행,29,-,-,-,-,19,27,19,15,18,18,21,19,20,18,17,14,15,16,20,19,20,23,26,19.65
88,2025년01월02일,보람서로,하행,16,30,-,-,-,30,27,25,25,26,23,21,25,27,24,24,25,22,21,23,25,25,27,26,24.6190476
158,2025년01월03일,보람서로,상행,28,-,-,-,-,20,25,20,17,20,17,21,17,20,17,16,15,16,17,18,19,17,23,24,19.35
159,2025년01월03일,보람서로,하행,31,-,32,-,-,29,25,28,21,24,21,26,25,21,27,28,24,21,20,21,22,22,26,27,24.8095238
230,2025년01월04일,보람서로,상행,31,27,-,24,-,17,24,23,21,17,18,18,15,18,17,17,20,16,17,18,21,19,26,27,20.5
231,2025년01월04일,보람서로,하행,32,22,32,30,-,35,33,28,28,28,20,27,27,23,22,24,27,22,23,21,24,25,27,31,26.5652174
301,2025년01월05일,보람서로,상행,20,-,32,29,-,28,21,28,23,20,20,19,19,21,20,16,16,19,21,23,24,25,22,24,22.2727273
302,2025년01월05일,보람서로,하행,31,26,-,-,-,-,-,29,28,32,28,26,26,21,25,25,24,26,24,25,27,29,26,37,27.1052632
372,2025년01월06일,보람서로,상행,-,-,-,-,-,24,23,19,15,15,18,19,18,22,20,18,17,17,14,19,22,17,22,22,19.0
373,2025년01월06일,보람서로,하행,33,38,-,-,-,33,21,21,25,25,24,21,21,24,26,19,23,24,23,25,26,27,25,32,25.5238095
443,2025년01월07일,보람서로,상행,23,29,-,-,-,28,17,23,14,20,19,18,17,18,17,15,16,16,16,17,21,19,18,27,19.4285714
444,2025년01월07일,보람서로,하행,32,-,35,-,37,33,26,22,27,26,23,26,22,23,25,23,24,22,22,22,24,23,30,17,25.6363636
514,2025년01월08일,보람서로,상행,25,16,-,16,-,17,26,21,15,15,22,20,21,18,21,16,17,16,17,16,19,19,21,23,18.9545455
515,2025년01월08일,보람서로,하행,-,-,-,-,-,21,26,25,25,25,26,28,23,25,22,23,21,25,21,24,20,24,27,27,24.1052632
585,2025년01월09일,보람서로,상행,21,21,32,-,29,26,22,17,15,17,22,19,19,20,20,15,17,18,15,15,20,21,23,21,20.2173913
586,2025년01월09일,보람서로,하행,18,-,-,-,-,31,22,20,20,21,27,29,21,21,23,22,24,23,21,21,24,25,29,24,23.3
656,2025년01월10일,보람서로,상행,13,37,-,28,-,26,26,20,16,16,19,21,18,19,17,18,15,16,16,17,20,24,23,20,20.2272727
657,2025년01월10일,보람서로,하행,23,15,-,-,-,37,24,19,22,23,25,24,23,23,24,22,22,24,21,25,23,23,26,24,23.4285714
