Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
18,2025년01월01일,산학리길,상행,52,48,52,-,62,58,69,67,59,61,56,54,55,54,56,52,56,57,62,57,61,59,57,51,57.173913
19,2025년01월01일,산학리길,하행,66,45,40,-,66,61,54,70,65,57,61,61,57,56,56,57,61,56,60,56,66,54,54,74,58.826087
89,2025년01월02일,산학리길,상행,44,42,38,-,51,60,62,63,66,59,54,56,59,55,57,56,59,59,57,60,61,55,61,55,56.0434783
90,2025년01월02일,산학리길,하행,66,-,44,79,64,61,55,65,58,63,58,56,57,57,59,57,59,64,61,60,64,56,52,59,59.7391304
160,2025년01월03일,산학리길,상행,45,51,-,48,-,57,56,67,66,61,56,56,55,58,58,55,63,57,56,56,62,61,62,58,57.4545455
161,2025년01월03일,산학리길,하행,51,-,-,75,62,60,60,61,63,60,61,58,60,57,63,57,60,61,60,59,59,59,53,49,59.4545455
232,2025년01월04일,산학리길,상행,51,57,59,-,58,53,63,63,64,57,57,52,53,58,57,56,56,55,53,58,54,55,59,57,56.7391304
233,2025년01월04일,산학리길,하행,-,37,-,57,66,62,70,63,61,59,58,57,54,58,56,62,60,59,60,55,57,50,53,62,58.0
303,2025년01월05일,산학리길,상행,54,-,46,-,-,52,56,61,57,52,55,55,52,48,53,49,48,48,50,55,51,60,54,50,52.6666667
304,2025년01월05일,산학리길,하행,46,-,-,61,63,60,53,62,61,53,59,51,55,51,48,47,47,52,56,52,51,52,56,57,54.2272727
374,2025년01월06일,산학리길,상행,36,-,58,-,-,52,51,53,58,57,54,52,53,55,46,55,58,55,58,57,59,59,54,56,54.0952381
375,2025년01월06일,산학리길,하행,59,-,-,-,-,51,60,58,55,57,56,51,49,53,54,58,60,61,62,60,59,64,63,66,57.8
445,2025년01월07일,산학리길,상행,47,63,-,-,64,70,60,65,63,59,51,54,57,51,45,52,53,53,58,53,54,60,52,53,56.2272727
446,2025년01월07일,산학리길,하행,30,-,54,26,61,57,57,59,58,61,57,56,54,61,47,49,53,56,63,63,54,53,54,50,53.6086957
516,2025년01월08일,산학리길,상행,50,75,58,52,49,58,56,56,59,55,55,51,52,52,53,49,55,54,56,45,49,51,48,38,53.1666667
517,2025년01월08일,산학리길,하행,57,31,66,72,57,52,57,57,54,56,57,50,50,52,52,43,53,55,58,52,55,50,56,52,53.9166667
587,2025년01월09일,산학리길,상행,51,31,-,45,61,56,55,56,56,52,53,51,51,56,47,45,49,56,56,46,47,49,48,50,50.7391304
588,2025년01월09일,산학리길,하행,51,-,-,49,49,49,48,55,56,55,58,50,53,56,57,58,60,60,61,53,52,54,63,46,54.2272727
658,2025년01월10일,산학리길,상행,54,65,48,56,66,52,58,60,64,55,53,49,55,57,54,55,57,61,57,59,51,54,51,59,56.25
659,2025년01월10일,산학리길,하행,50,50,-,-,62,49,56,59,62,60,60,53,57,59,58,56,57,60,58,51,54,56,60,51,56.2727273
729,2025년01월11일,산학리길,상행,43,58,51,61,-,54,57,66,63,57,53,52,55,50,56,57,55,53,51,51,55,50,58,55,54.826087
730,2025년01월11일,산학리길,하행,48,-,72,68,50,62,58,56,63,59,58,54,55,54,53,54,57,56,58,54,52,54,57,57,56.9130435
800,2025년01월12일,산학리길,상행,47,46,-,75,-,61,59,68,62,56,52,52,50,54,54,55,56,56,52,57,56,60,62,57,56.6818182
801,2025년01월12일,산학리길,하행,38,49,75,-,59,59,53,64,61,59,57,53,55,59,52,58,58,57,57,54,59,57,53,29,55.4347826
871,2025년01월13일,산학리길,상행,56,-,61,-,58,62,59,62,63,58,55,58,56,57,57,58,57,58,58,58,60,55,62,52,58.1818182
872,2025년01월13일,산학리길,하행,54,45,-,69,61,58,58,63,63,59,64,56,60,57,59,59,58,60,60,60,56,63,65,50,59.0
942,2025년01월14일,산학리길,상행,48,58,54,66,58,54,52,62,59,54,54,54,56,55,55,60,59,60,58,60,55,55,60,56,56.75
943,2025년01월14일,산학리길,하행,40,66,36,69,61,63,61,61,57,58,54,55,53,56,56,55,62,63,63,56,56,59,63,59,57.5833333
1013,2025년01월15일,산학리길,상행,41,55,-,45,56,59,62,64,66,58,55,53,43,44,51,56,59,58,56,56,53,57,60,37,54.0869565
1014,2025년01월15일,산학리길,하행,47,48,-,51,66,73,57,63,63,60,65,57,61,59,62,58,62,61,58,58,61,57,59,61,59.4347826
1084,2025년01월16일,산학리길,상행,56,48,56,50,56,60,68,66,65,59,56,55,57,57,53,56,54,57,57,59,52,58,53,52,56.6666667
1085,2025년01월16일,산학리길,하행,62,68,-,58,66,57,60,63,61,66,61,53,57,58,58,59,58,59,60,55,59,63,48,55,59.3043478
1155,2025년01월17일,산학리길,상행,60,72,61,20,56,68,60,64,63,60,58,54,56,58,55,58,59,61,55,55,50,48,52,62,56.875
1156,2025년01월17일,산학리길,하행,62,-,-,48,61,70,60,68,61,59,59,55,56,57,60,57,61,63,59,61,55,57,62,48,59.0454545
1226,2025년01월18일,산학리길,상행,47,66,-,62,49,52,58,69,61,58,57,53,53,57,56,58,55,59,56,54,50,56,67,52,56.7391304
1227,2025년01월18일,산학리길,하행,44,-,-,-,75,60,58,57,65,61,61,59,59,59,57,59,59,62,57,57,54,53,63,59,58.952381
1297,2025년01월19일,산학리길,상행,59,61,-,59,61,61,55,66,60,55,56,52,53,55,58,54,53,56,51,52,54,52,55,59,56.3913043
1298,2025년01월19일,산학리길,하행,50,65,-,-,62,68,49,63,62,55,59,55,56,55,58,54,58,60,56,64,70,56,52,51,58.0909091
1368,2025년01월20일,산학리길,상행,56,-,49,-,-,67,61,64,63,60,57,57,53,59,59,60,58,57,59,55,60,55,59,56,58.2857143
1369,2025년01월20일,산학리길,하행,57,-,40,-,74,71,64,63,63,59,61,59,57,57,59,57,59,62,64,60,59,56,66,58,60.2272727
