Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
20,2025년01월01일,새내로,상행,43,42,46,40,41,38,38,40,39,42,38,31,32,30,29,28,32,41,40,39,35,39,43,45,37.9583333
21,2025년01월01일,새내로,하행,47,49,49,47,48,44,49,46,46,44,44,36,37,27,36,38,38,39,39,40,43,43,47,43,42.4583333
91,2025년01월02일,새내로,상행,48,41,41,39,39,39,38,42,44,42,47,29,28,25,22,23,29,34,33,42,37,42,45,46,37.2916667
92,2025년01월02일,새내로,하행,44,51,50,48,44,43,41,44,43,50,42,35,34,33,37,37,37,39,39,42,42,44,45,50,42.25
162,2025년01월03일,새내로,상행,39,44,47,43,44,41,36,38,39,38,48,32,25,26,25,30,28,37,35,40,38,39,46,42,37.5
163,2025년01월03일,새내로,하행,46,45,51,49,45,44,45,43,48,47,46,34,34,31,37,37,37,38,40,42,43,44,44,46,42.3333333
234,2025년01월04일,새내로,상행,45,44,44,39,36,39,38,39,44,36,31,26,19,27,22,27,30,36,37,43,38,43,37,43,35.9583333
235,2025년01월04일,새내로,하행,47,48,41,48,50,41,42,40,45,46,39,31,32,32,33,34,35,37,40,42,43,44,43,45,40.75
305,2025년01월05일,새내로,상행,47,46,48,43,37,41,38,43,37,39,36,34,33,32,27,34,27,36,38,38,36,40,42,48,38.3333333
306,2025년01월05일,새내로,하행,48,47,50,45,48,41,40,42,42,36,35,37,37,40,38,36,37,39,41,42,43,45,46,45,41.6666667
376,2025년01월06일,새내로,상행,47,41,39,43,40,35,33,32,31,34,33,24,28,30,32,28,35,36,39,41,38,40,39,41,35.7916667
377,2025년01월06일,새내로,하행,48,48,47,49,46,43,41,41,37,37,34,33,34,38,37,38,36,36,40,42,43,46,48,48,41.25
447,2025년01월07일,새내로,상행,42,38,41,37,43,39,37,36,42,39,43,31,30,32,30,33,35,37,39,42,40,42,44,46,38.25
448,2025년01월07일,새내로,하행,46,45,52,55,47,45,42,43,43,44,42,34,36,38,35,38,38,36,41,43,43,47,43,49,42.7083333
518,2025년01월08일,새내로,상행,43,41,37,37,34,35,33,29,26,35,29,27,26,31,27,33,30,35,39,39,36,35,29,30,33.1666667
519,2025년01월08일,새내로,하행,49,50,50,48,48,38,38,36,33,35,36,36,31,33,36,33,36,40,40,41,43,40,35,37,39.25
589,2025년01월09일,새내로,상행,31,38,39,29,33,33,32,29,29,24,24,30,28,23,25,33,33,29,33,36,38,38,42,47,32.3333333
590,2025년01월09일,새내로,하행,38,32,37,38,40,38,37,37,35,31,28,32,35,30,28,31,34,35,33,39,41,45,46,47,36.125
660,2025년01월10일,새내로,상행,41,41,43,41,38,38,37,38,38,32,47,29,28,27,23,24,25,34,39,31,35,34,42,42,35.2916667
661,2025년01월10일,새내로,하행,45,49,46,46,38,42,44,45,63,38,34,31,32,30,39,45,38,41,46,48,51,45,50,48,43.0833333
731,2025년01월11일,새내로,상행,38,38,41,38,41,40,29,39,34,35,36,26,28,29,25,27,27,35,38,35,39,42,42,41,35.125
732,2025년01월11일,새내로,하행,51,43,46,51,43,43,50,48,47,39,35,33,38,41,52,39,36,39,42,49,45,46,48,40,43.5
802,2025년01월12일,새내로,상행,41,43,42,40,37,37,40,41,43,35,39,31,30,25,25,25,31,38,33,37,37,41,46,45,36.75
803,2025년01월12일,새내로,하행,46,47,57,50,52,42,50,50,39,40,40,36,38,33,35,35,37,39,40,40,43,42,43,50,42.6666667
873,2025년01월13일,새내로,상행,42,41,42,40,40,36,34,38,34,27,33,22,29,24,21,25,26,37,30,40,35,43,43,46,34.5
874,2025년01월13일,새내로,하행,48,49,53,44,49,41,40,42,41,39,36,35,34,33,34,35,36,38,38,42,42,44,45,45,40.9583333
944,2025년01월14일,새내로,상행,46,43,46,43,42,38,36,31,26,25,24,26,27,21,26,26,28,35,38,40,40,43,44,46,35.0
945,2025년01월14일,새내로,하행,50,47,51,47,42,47,42,38,32,31,29,32,32,32,32,33,34,37,38,42,42,46,45,45,39.4166667
1015,2025년01월15일,새내로,상행,45,45,42,37,37,38,36,38,44,36,43,31,32,30,28,31,35,39,41,42,42,41,43,45,38.375
1016,2025년01월15일,새내로,하행,48,48,56,49,46,44,43,44,43,40,39,35,34,32,36,34,39,40,38,42,44,43,45,49,42.125
1086,2025년01월16일,새내로,상행,44,44,48,38,39,36,36,43,34,24,33,30,32,30,25,28,30,32,31,34,36,41,41,41,35.4166667
1087,2025년01월16일,새내로,하행,50,48,48,41,42,43,40,42,39,38,38,34,34,35,36,35,36,36,37,40,43,45,45,47,40.5
1157,2025년01월17일,새내로,상행,40,44,44,38,42,38,39,33,36,34,34,28,29,27,27,27,27,34,31,29,41,37,43,41,35.125
1158,2025년01월17일,새내로,하행,46,48,47,39,47,43,41,43,41,40,38,33,33,32,33,33,34,38,39,41,42,44,43,45,40.125
1228,2025년01월18일,새내로,상행,44,41,47,42,36,40,35,40,40,36,30,25,28,25,23,30,30,32,38,39,42,39,41,41,36.0
1229,2025년01월18일,새내로,하행,48,49,48,48,54,48,43,44,42,40,37,31,31,33,34,35,36,37,40,43,43,42,44,46,41.5
1299,2025년01월19일,새내로,상행,43,42,45,40,40,43,36,42,39,35,27,29,28,26,22,28,25,41,38,32,38,40,47,40,36.0833333
1300,2025년01월19일,새내로,하행,47,47,49,47,43,44,44,41,41,40,39,36,35,33,34,35,34,37,40,43,44,45,47,47,41.3333333
1370,2025년01월20일,새내로,상행,47,48,38,42,40,40,33,42,33,25,27,29,30,33,27,31,30,28,35,33,36,42,42,49,35.8333333
1371,2025년01월20일,새내로,하행,47,50,52,44,51,43,43,42,38,36,35,35,36,36,35,34,35,39,38,43,44,46,47,47,41.5
