Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
22,2025년01월01일,새롬다정로,상행,28,31.5,29.5,33,37,34.5,30,29.5,29,29,28.5,27.5,25.5,25.5,26,26.5,26,25,26,25.5,25.5,27.5,26.5,28.5,28.375
23,2025년01월01일,새롬다정로,하행,24.5,24.5,25,25,24.5,23,25.5,25,28,24.5,25.5,24.5,23.5,23.5,23,23,23,23,22,23,23.5,23.5,24,24,24.1041667
93,2025년01월02일,새롬다정로,상행,30,32.5,32.5,-,33.5,30,28,28,19.5,25,27,27.5,26.5,26,27,26.5,23.5,23.5,21,24,26,25,26.5,28,26.826087
94,2025년01월02일,새롬다정로,하행,23.5,25.5,28,29,33,24.5,25.5,25,22.5,24.5,24.5,24.5,23.5,24,23.5,23.5,21.5,22,19,22,22,21.5,23.5,24.5,24.1875
164,2025년01월03일,새롬다정로,상행,27.5,30.5,31.5,-,36,34,30,27.5,21,26,27,26,26.5,26,27,25.5,22.5,22.5,20.5,21.5,23.5,26.5,25,26,26.5217391
165,2025년01월03일,새롬다정로,하행,25,25.5,26.5,27.5,23.5,26.5,25.5,24.5,22.5,24,25,24.5,23,24,23,22.5,21,21.5,18,21.5,21.5,22,22,23,23.4791667
236,2025년01월04일,새롬다정로,상행,30.5,27,24,25.5,31,30,29.5,30.5,29.5,26.5,25,23.5,24,23.5,22.5,24,23.5,22.5,22.5,24.5,24,25.5,26,29,26.0
237,2025년01월04일,새롬다정로,하행,23,23.5,26.5,25.5,27,23.5,25.5,23.5,25,24.5,22.5,23,22.5,21.5,21,22,23,21.5,20.5,22.5,23.5,22.5,23.5,23.5,23.3541667
307,2025년01월05일,새롬다정로,상행,27.5,24,29.5,29,34,32,29,27,27,25.5,25.5,25.5,23.5,24,24.5,22.5,25,23,24.5,25,25.5,25.5,27,27,26.3541667
308,2025년01월05일,새롬다정로,하행,25.5,26,24.5,25,28.5,31,27.5,24.5,27,25.5,26,25.5,23.5,24,23,22,23,22,21.5,24.5,24,25,23,25,24.875
