Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
24,2025년01월01일,새롬중앙로,상행,29,37,-,-,-,-,-,-,21,18,21,10,18,18,14,15,18,19,14,17,15,16,12,-,18.3529412
25,2025년01월01일,새롬중앙로,하행,28,12,-,-,17,-,-,-,-,18,16,16,14,15,15,15,13,15,15,17,-,-,-,-,16.1428571
95,2025년01월02일,새롬중앙로,상행,21,-,-,-,-,-,-,22,21,35,19,24,23,22,16,15,15,17,17,19,20,19,18,-,20.1764706
96,2025년01월02일,새롬중앙로,하행,-,-,-,-,-,-,-,15,15,18,19,18,19,17,18,18,18,14,16,17,17,20,20,-,17.4375
166,2025년01월03일,새롬중앙로,상행,-,-,-,-,-,-,12,23,20,22,22,25,20,20,28,17,20,15,14,18,21,21,14,24,19.7777778
167,2025년01월03일,새롬중앙로,하행,-,-,-,-,-,21,-,24,16,24,21,13,13,18,20,19,15,13,16,17,18,21,16,-,17.9411765
238,2025년01월04일,새롬중앙로,상행,-,16,-,-,-,-,-,19,16,16,16,14,16,14,16,16,17,16,14,19,16,14,21,-,16.2352941
239,2025년01월04일,새롬중앙로,하행,-,-,-,-,-,-,16,17,17,15,12,16,13,13,12,12,14,14,16,14,-,16,12,-,14.3125
309,2025년01월05일,새롬중앙로,상행,-,-,-,-,-,-,-,-,20,15,13,17,17,13,17,15,16,18,17,18,20,21,-,24,17.4
310,2025년01월05일,새롬중앙로,하행,-,-,-,-,-,-,-,-,19,14,17,14,15,14,17,16,14,12,13,18,-,-,-,-,15.25
380,2025년01월06일,새롬중앙로,상행,11,-,-,-,-,47,18,23,19,20,26,24,21,22,18,17,16,17,15,17,22,20,20,29,21.1
381,2025년01월06일,새롬중앙로,하행,12,-,-,-,-,22,-,22,19,15,18,19,21,19,19,22,14,18,17,17,21,26,15,-,18.6666667
451,2025년01월07일,새롬중앙로,상행,39,40,-,-,-,-,-,20,22,20,24,18,16,19,20,26,17,16,16,20,18,23,18,17,21.5263158
452,2025년01월07일,새롬중앙로,하행,15,-,-,-,-,27,25,22,16,24,14,16,21,22,19,16,21,21,13,15,20,19,18,-,19.1578947
522,2025년01월08일,새롬중앙로,상행,-,-,-,-,-,-,-,24,22,16,28,28,24,22,16,17,15,16,15,14,16,17,18,20,19.2941176
523,2025년01월08일,새롬중앙로,하행,-,-,-,-,31,20,22,17,16,17,18,20,18,17,18,18,13,16,15,12,20,22,17,-,18.2631579
593,2025년01월09일,새롬중앙로,상행,32,-,-,-,-,-,24,23,24,19,17,17,17,21,18,21,19,16,13,16,23,21,16,-,19.8333333
594,2025년01월09일,새롬중앙로,하행,-,-,-,-,-,-,-,19,18,20,16,16,13,11,18,17,14,15,15,14,18,11,13,14,15.4117647
664,2025년01월10일,새롬중앙로,상행,23,-,-,-,-,-,23,21,22,21,24,15,20,20,17,17,15,17,16,13,13,18,19,19,18.5789474
665,2025년01월10일,새롬중앙로,하행,-,-,-,-,-,-,18,16,17,16,13,-,18,16,17,15,19,19,14,14,16,17,16,25,16.8235294
735,2025년01월11일,새롬중앙로,상행,33,-,-,-,-,-,-,14,16,13,15,13,16,16,18,14,15,15,14,15,18,14,14,-,16.0588235
736,2025년01월11일,새롬중앙로,하행,-,-,-,-,-,-,-,17,23,14,15,12,15,13,13,13,17,13,12,16,18,10,-,-,14.7333333
806,2025년01월12일,새롬중앙로,상행,38,-,-,-,-,-,-,-,15,17,15,15,17,15,15,15,12,16,15,13,18,20,-,16,17.0
807,2025년01월12일,새롬중앙로,하행,22,-,-,-,-,-,-,14,-,16,17,15,14,15,17,13,13,15,14,18,-,-,14,-,15.5
877,2025년01월13일,새롬중앙로,상행,-,-,-,-,-,-,-,18,18,24,23,19,17,23,19,16,16,16,17,19,20,21,18,40,20.2352941
878,2025년01월13일,새롬중앙로,하행,-,-,-,-,22,-,22,15,19,18,13,13,19,18,19,18,14,16,16,15,10,14,17,22,16.8421053
948,2025년01월14일,새롬중앙로,상행,-,14,-,-,-,-,-,22,22,20,20,18,18,21,19,20,17,16,17,21,25,21,23,-,19.6470588
949,2025년01월14일,새롬중앙로,하행,-,-,-,-,-,25,14,17,20,19,20,16,19,15,18,19,16,19,16,17,16,13,20,21,17.8947368
1019,2025년01월15일,새롬중앙로,상행,-,-,-,-,-,-,-,18,26,17,20,24,17,19,22,16,18,17,14,17,24,21,26,-,19.75
1020,2025년01월15일,새롬중앙로,하행,15,-,-,-,-,23,-,16,18,23,23,16,17,20,11,16,15,19,18,16,19,24,22,-,18.3888889
1090,2025년01월16일,새롬중앙로,상행,-,-,-,-,-,-,-,29,18,19,20,22,19,20,18,19,15,16,16,16,30,20,20,40,21.0
1091,2025년01월16일,새롬중앙로,하행,-,-,-,-,-,18,26,19,18,14,17,16,22,14,16,17,12,14,16,17,20,12,21,21,17.3684211
1161,2025년01월17일,새롬중앙로,상행,35,-,-,-,-,-,-,21,17,25,26,21,21,24,28,23,19,16,16,16,19,23,19,25,21.8888889
1162,2025년01월17일,새롬중앙로,하행,-,-,-,-,-,23,-,18,20,17,18,15,17,16,18,16,16,18,15,15,16,19,12,22,17.2777778
1232,2025년01월18일,새롬중앙로,상행,37,35,-,-,-,-,-,19,17,15,18,12,18,16,16,13,16,14,14,15,15,15,17,-,17.8888889
1233,2025년01월18일,새롬중앙로,하행,-,-,-,-,30,26,20,16,16,17,12,13,12,13,13,13,13,14,15,12,-,21,-,-,16.2352941
1303,2025년01월19일,새롬중앙로,상행,-,25,-,-,-,-,-,-,26,15,16,15,16,14,15,17,15,17,13,18,18,16,-,24,17.5
1304,2025년01월19일,새롬중앙로,하행,-,-,-,-,-,-,-,-,17,17,16,13,14,12,16,15,14,14,11,11,15,-,-,-,14.2307692
1374,2025년01월20일,새롬중앙로,상행,-,-,-,-,-,-,-,25,24,19,25,11,15,21,11,14,16,17,15,19,18,26,31,-,19.1875
1375,2025년01월20일,새롬중앙로,하행,49,-,-,-,-,24,23,12,19,16,16,11,21,20,-,15,20,17,15,21,22,18,20,-,19.9444444
1446,2025년01월21일,새롬중앙로,상행,22,-,-,-,-,-,40,22,18,16.5,17,15,24,28,-,-,13,18,15,16,-,20,25,30,21.21875
1447,2025년01월21일,새롬중앙로,하행,-,-,-,-,-,-,13,15,17,16,19,13,-,21,-,-,23,13,19,16,-,13,16,-,16.4615385
1517,2025년01월22일,새롬중앙로,상행,28,37,-,-,-,-,-,24,19,31,-,-,-,-,-,-,17,13,16,19,-,-,21,22,22.4545455
1518,2025년01월22일,새롬중앙로,하행,-,-,-,-,-,-,21,15,19,16,-,-,-,-,-,-,16,16,16,17,-,-,-,-,17.0
1588,2025년01월23일,새롬중앙로,상행,30,-,-,-,-,-,-,20,18,22,20,21,19,22,17,18,16,19,15,15,18,21,24,22,19.8333333
1589,2025년01월23일,새롬중앙로,하행,-,-,-,-,-,-,25,22,16,15,21,16,15,14,17,19,16,18,14,15,16,20,17,13,17.1666667
1659,2025년01월24일,새롬중앙로,상행,-,-,-,-,-,-,22,24,21,19,17,24,22,20,22,16,16,15,14,16,21,20,19,18,19.2222222
1660,2025년01월24일,새롬중앙로,하행,-,-,-,-,-,-,23,22,18,17,19,21,17,18,15,15,20,12,14,17,20,21,18,16,17.9444444
1730,2025년01월25일,새롬중앙로,상행,-,-,-,-,-,-,-,-,14,16,18,14,16,13,14,14,15,14,15,15,15,12,18,-,14.8666667
1731,2025년01월25일,새롬중앙로,하행,-,-,-,-,-,-,14,-,14,12,14,15,15,14,15,12,18,13,12,15,12,19,-,19,14.5625
1801,2025년01월26일,새롬중앙로,상행,17,21,-,-,-,-,-,-,-,17,20,16,18,14,14,16,12,15,13,13,-,16,19,-,16.0666667
1802,2025년01월26일,새롬중앙로,하행,-,-,-,-,-,31,-,-,17,15,11,13,13,14,13,14,13,13,16,30,-,-,12,-,16.0714286
1872,2025년01월27일,새롬중앙로,상행,41,-,-,-,-,-,-,22,13,29,26,23,22,18,20,17,20,16,16,15,18,10,10,18,19.6666667
1873,2025년01월27일,새롬중앙로,하행,-,-,-,-,26,-,-,-,-,19,15,15,20,20,14,19,16,15,16,15,-,-,17,-,17.4615385
1943,2025년01월28일,새롬중앙로,상행,-,27,-,-,-,-,-,-,-,-,-,15,-,16,11,23,13,13,18,18,18,-,-,-,17.2
1944,2025년01월28일,새롬중앙로,하행,-,-,-,-,-,-,-,-,-,-,17,21,14,21,12,23,22,17,20,-,-,-,14,-,18.1
