Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
26,2025년01월01일,세종1로,상행,27,32,27,39,32,37,27,29,30,29,25,26,27,27,28,26,27,27,27,26,25,29,28,31,28.6666667
27,2025년01월01일,세종1로,하행,20,28,25,27,26,24,20,19,17,18,17,18,16,17,16,16,17,17,17,17,17,18,21,27,19.7916667
97,2025년01월02일,세종1로,상행,27,32,31,37,36,39,30,30,24,26,27,29,28,27,25,27,25,27,23,25,27,26,28,30,28.5833333
98,2025년01월02일,세종1로,하행,21,17,28,24,22,23,17,13,13,15,18,16,15,15,16,15,17,16,13,15,16,16,21,23,17.7083333
168,2025년01월03일,세종1로,상행,27,34,33,39,39,31,30,29,22,25,25,27,25,25,24,23,23,24,24,25,26,26,27,29,27.5833333
169,2025년01월03일,세종1로,하행,19,27,22,31,28,25,17,13,14,14,17,14,16,16,16,16,15,14,13,16,17,17,18,21,18.1666667
240,2025년01월04일,세종1로,상행,32,32,34,31,35,35,29,29,28,25,26,24,26,27,26,25,27,27,26,27,26,28,25,30,28.3333333
241,2025년01월04일,세종1로,하행,23,27,26,28,26,22,19,20,17,17,16,13,14,13,13,15,14,14,16,18,17,19,19,23,18.7083333
311,2025년01월05일,세종1로,상행,32,33,31,31,44,31,30,31,28,27,27,25,27,27,26,25,26,27,26,26,27,26,25,32,28.75
312,2025년01월05일,세종1로,하행,24,24,26,21,26,23,21,19,17,17,19,16,16,16,16,15,17,16,16,18,19,19,24,27,19.6666667
382,2025년01월06일,세종1로,상행,29,44,30,41,41,36,32,30,23,23,26,28,28,27,25,24,26,25,24,27,28,27,26,29,29.125
383,2025년01월06일,세종1로,하행,28,36,29,31,31,22,16,13,12,16,17,15,17,17,17,17,15,15,13,17,16,19,20,24,19.7083333
453,2025년01월07일,세종1로,상행,27,26,34,38,30,35,29,29,24,26,26,26,27,26,23,25,27,26,24,28,29,28,28,28,27.875
454,2025년01월07일,세종1로,하행,22,22,28,22,27,26,16,14,11,15,16,16,15,16,17,15,15,15,13,16,17,18,18,22,18.0
524,2025년01월08일,세종1로,상행,33,29,26,27,37,39,30,28,22,25,26,25,28,26,25,26,25,26,24,25,28,26,24,26,27.3333333
525,2025년01월08일,세종1로,하행,22,28,26,22,29,23,18,14,13,15,17,15,16,17,18,17,17,15,12,16,16,17,18,20,18.375
595,2025년01월09일,세종1로,상행,28,30,31,29,41,31,28,27,23,26,26,26,25,22,24,26,25,26,24,22,27,25,27,30,27.0416667
596,2025년01월09일,세종1로,하행,21,31,19,29,19,24,17,14,13,15,18,14,17,16,17,17,15,15,13,15,16,18,22,23,18.25
666,2025년01월10일,세종1로,상행,28,35,37,34,44,33,29,28,23,22,24,24,24,24,23,21,21,26,23,24,26,26,24,29,27.1666667
667,2025년01월10일,세종1로,하행,22,29,26,29,21,24,17,15,14,15,17,14,16,15,14,15,13,14,12,15,17,17,18,21,17.9166667
737,2025년01월11일,세종1로,상행,30,32,30,24,29,31,29,28,28,25,22,24,24,24,21,21,24,26,26,27,25,28,28,26,26.3333333
738,2025년01월11일,세종1로,하행,20,28,23,29,29,24,21,18,17,16,16,13,13,13,13,14,13,13,13,16,18,19,19,23,18.375
