Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
28,2025년01월01일,세종로,상행,44,50,-,-,-,-,46,57,19,29,34,37,25,26,31,28,33,31,30,34,31,30,-,-,34.1666667
29,2025년01월01일,세종로,하행,44,-,20,-,59,59,-,52,54,47,52,39,38,42,37,38,37,42,40,36,54,49,44,46,44.2380952
99,2025년01월02일,세종로,상행,-,-,-,-,-,52,28,38,41,35,27,20,33,32,32,29,38,33,31,38,62,39,38,-,35.8888889
100,2025년01월02일,세종로,하행,-,-,-,-,-,62,52,54,39,48,37,43,44,39,43,48,46,36,39,32,41,45,47,36,43.7368421
170,2025년01월03일,세종로,상행,-,-,-,-,-,-,44,43,37,24,40,26,29,42,27,32,34,32,34,37,38,37,52,43,36.1666667
171,2025년01월03일,세종로,하행,-,-,-,-,62,64,50,57,43,43,36,47,34,49,37,41,40,36,41,33,41,41,49,34,43.9
242,2025년01월04일,세종로,상행,-,-,-,-,-,-,44,33,37,37,32,30,24,25,34,32,24,33,32,34,30,38,32,50,33.3888889
243,2025년01월04일,세종로,하행,-,-,-,-,55,62,46,46,46,40,40,34,42,40,43,37,36,43,36,43,45,45,20,53,42.6
313,2025년01월05일,세종로,상행,17,-,52,-,-,-,44,35,31,35,34,26,36,34,38,32,29,30,38,39,36,40,40,47,35.65
314,2025년01월05일,세종로,하행,-,-,-,-,-,-,54,-,48,46,45,47,48,39,37,43,43,43,45,39,40,40,55,22,43.1764706
384,2025년01월06일,세종로,상행,-,-,57,-,-,50,45,31,39,41,34,38,23,33,25,32,33,31,31,37,34,39,56,-,37.3157895
385,2025년01월06일,세종로,하행,-,-,-,-,-,63,56,44,39,40,33,48,34,34,39,31,39,40,46,45,37,49,62,57,44.0
455,2025년01월07일,세종로,상행,22,26,-,-,-,54,46,49,41,34,36,32,37,28,26,31,28,28,32,35,23,40,40,-,34.4
456,2025년01월07일,세종로,하행,26,-,20,-,22,65,56,48,42,48,39,38,38,47,38,37,33,33,40,50,34,53,58,19,40.1818182
526,2025년01월08일,세종로,상행,-,20,-,-,-,53,35,33,36,29,32,32,28,38,30,34,39,35,33,32,45,40,-,37,34.7894737
527,2025년01월08일,세종로,하행,40,-,61,-,-,49,54,51,41,44,33,42,34,35,29,29,40,41,46,33,39,40,39,14,39.7142857
