Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
30,2025년01월01일,세종오송로,상행,-,-,-,-,-,-,-,-,-,38,57,51,-,58,37,49,19,52,56,-,-,-,72,-,48.9
31,2025년01월01일,세종오송로,하행,-,-,-,-,-,-,61,20,18,40,17,40,75,62,42,43,38,44,40,-,-,-,-,-,41.5384615
101,2025년01월02일,세종오송로,상행,-,-,-,-,-,65,51,51,48,56,41,33,36,61,58,45,58,45,-,-,64,-,24,-,49.0666667
102,2025년01월02일,세종오송로,하행,-,-,-,-,-,60,54,64,56,38,18,38,20,61,40,47,39,54,47,54,34,-,-,-,45.25
172,2025년01월03일,세종오송로,상행,-,-,59,-,-,53,46,50,42,55,64,53,49,49,60,57,44,31,46,-,-,55,71,-,52.0
173,2025년01월03일,세종오송로,하행,-,-,-,-,-,-,21,50,67,47,45,42,57,51,39,50,39,44,47,61,-,-,-,-,47.1428571
244,2025년01월04일,세종오송로,상행,-,-,-,-,-,63,-,68,45,60,52,58,59,61,38,43,59,77,65,-,-,73,62,-,58.8666667
245,2025년01월04일,세종오송로,하행,-,-,-,-,-,-,60,36,60,63,10,-,37,50,43,51,66,52,-,60,51,-,54,-,49.5
315,2025년01월05일,세종오송로,상행,-,-,-,-,-,-,-,67,64,38,-,18,58,44,46,-,-,41,-,-,-,63,58,-,49.7
316,2025년01월05일,세종오송로,하행,-,-,-,-,-,-,61,44,68,-,64,46,-,46,32,45,53,33,-,-,-,-,-,-,49.2
386,2025년01월06일,세종오송로,상행,-,-,-,-,-,64,59,44,50,53,57,39,48,52,53,37,34,54,26,-,-,57,-,-,48.4666667
387,2025년01월06일,세종오송로,하행,-,-,-,-,-,-,58,61,39,38,40,52,21,50,41,24,43,47,51,51,61,62,56,-,46.7647059
457,2025년01월07일,세종오송로,상행,-,-,-,-,-,70,44,50,50,45,53,44,15,45,35,32,40,37,58,44,17,-,-,-,42.4375
458,2025년01월07일,세종오송로,하행,-,-,-,-,-,-,-,22,64,30,33,17,67,52,32,48,48,56,49,54,51,-,-,-,44.5
528,2025년01월08일,세종오송로,상행,-,-,-,-,-,53,59,52,51,44,55,50,57,39,66,63,46,36,38,-,15,-,-,-,48.2666667
529,2025년01월08일,세종오송로,하행,-,-,-,-,-,-,62,21,43,48,40,30,57,52,47,42,56,55,46,49,52,-,-,52,47.0
599,2025년01월09일,세종오송로,상행,-,-,-,-,-,25,51,47,46,51,58,60,49,47,51,30,71,29,18,-,-,69,-,-,46.8
600,2025년01월09일,세종오송로,하행,26,-,-,-,-,-,49,56,57,-,41,41,51,-,22,48,52,56,40,29,53,-,61,70,47.0
670,2025년01월10일,세종오송로,상행,-,-,-,-,-,44,62,50,48,66,54,46,19,34,43,41,39,39,35,-,-,-,-,-,44.2857143
