Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
32,2025년01월01일,소담로,상행,22.5,21.3333,26.5,25.5,22,26,38.5,27.3333,25.6667,24.6667,20,19.6667,18,18.3333,18.3333,17.6667,18,19.3333,19.3333,18.6667,17.6667,17.3333,23.5,24,22.0763875
33,2025년01월01일,소담로,하행,26.5,22,28,33.5,27,30,21.5,23,19.5,22,17.6667,18.3333,18,19,18,18,20,21.6667,21.5,18.3333,19.6667,22.5,24,26,22.3194458
103,2025년01월02일,소담로,상행,24,23,22,29,24.5,21.3333,25.6667,21.3333,22.3333,23.3333,19,18,18.6667,19,20,18,19,18,19,18.6667,21.5,21.5,21,22,21.2430542
104,2025년01월02일,소담로,하행,31,22,30.5,32.5,35.5,27.5,23,16,16,16.6667,18.6667,19.6667,19.3333,19.6667,18.3333,18.3333,18,19,18.3333,19.3333,22,22,24.5,27,22.2847208
174,2025년01월03일,소담로,상행,23,26.5,24.5,30,32.5,23.6667,25.6667,22.6667,23,22.3333,18.6667,18.3333,19.3333,19,18.6667,18.3333,20,18.3333,17.6667,18,19,21,17.3333,22.6667,21.6736125
175,2025년01월03일,소담로,하행,28.5,31,30,25,27.5,30,23.5,18.3333,16.3333,18.3333,21.6667,18.3333,20.3333,19.6667,18.3333,18.6667,19.3333,18,18,19.6667,19.3333,22.5,24.5,27,22.24305
246,2025년01월04일,소담로,상행,22.5,21.5,20,25,30,25.5,30,27.6667,25.3333,23.3333,19.6667,18.3333,19,19.3333,18.6667,18.6667,18,18.6667,18.6667,18,20.5,21,17.6667,20.5,21.5625042
247,2025년01월04일,소담로,하행,26.5,29.5,30,32,29.5,31,24.5,21,19.5,20,18,18.3333,18.3333,19.6667,19.3333,18,18.6667,17.6667,19.3333,18.3333,17.6667,24.5,25.5,26,22.6180542
317,2025년01월05일,소담로,상행,27,20.5,24,29,23,27,33,39,28.3333,25,20.3333,18.3333,19.3333,18,18.3333,18.6667,18.6667,18,17,18.3333,17.3333,18.3333,20.5,23.5,22.520825
318,2025년01월05일,소담로,하행,32.5,25,27,32,29.5,31.5,24.5,19,19.5,16.6667,18.6667,19.6667,17.3333,18,20,19.6667,19,19.6667,17.6667,21,21,24.5,26.5,25,22.7013958
388,2025년01월06일,소담로,상행,25,24,19,23,27.5,22.3333,25,19.3333,22.6667,23.3333,19,20,18.3333,19.3333,18,18.3333,18.6667,17.6667,17.6667,19,17.3333,19,21,21,20.6458292
389,2025년01월06일,소담로,하행,25.5,32.5,24,31.5,29.5,33,21.5,17.3333,17,16,18,18,19.3333,18,18.6667,17.6667,18.6667,19,18.3333,19,22,23.5,23.5,26.5,22.0
