Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
7571,2025년04월18일,시목부강로,상행,-,-,-,-,-,-,-,-,-,50,46,49,47,49,47,47,49,51,50,56,50,53,51,56,50.0666667
7572,2025년04월18일,시목부강로,하행,-,-,-,-,-,-,-,-,-,46,46,46,46,47,45,46,46,47,49,49,49,49,50,52,47.5333333
7657,2025년04월19일,시목부강로,상행,48,49,47,55,47,51,50,50,51,52,49,49,50,50,49,52,49,51,43,47,49,50,50,45,49.2916667
7658,2025년04월19일,시목부강로,하행,47,46,55,44,50,54,49,46,49,49,49,46,46,47,48,48,49,49,41,30,35,40,40,31,45.3333333
7743,2025년04월20일,시목부강로,상행,53,52,54,45,56,54,50,51,53,51,51,49,51,51,52,49,50,51,51,48,54,50,48,48,50.9166667
7744,2025년04월20일,시목부강로,하행,27,24,29,47,45,45,51,50,53,51,47,48,48,48,47,46,44,47,48,49,48,53,47,50,45.5
7825,2025년04월21일,시목부강로,상행,44,49,52,57,53,50,51,51,53,50,50,49,48,48,48,48,50,51,50,51,49,50,53,45,50.0
7826,2025년04월21일,시목부강로,하행,50,66,52,45,48,55,47,50,49,47,44,45,46,47,44,46,46,48,48,49,48,51,51,47,48.7083333
7911,2025년04월22일,시목부강로,상행,50,53,35,51,45,53,51,43,44,39,39,40,40,40,39,42,42,47,54,49,49,52,51,50,45.75
7912,2025년04월22일,시목부강로,하행,53,42,50,60,45,46,51,43,44,40,39,40,42,40,41,41,41,45,49,50,34,26,30,30,42.5833333
7997,2025년04월23일,시목부강로,상행,54,53,57,52,49,48,49,51,49,50,50,49,51,49,47,48,48,51,50,50,51,50,49,51,50.25
7998,2025년04월23일,시목부강로,하행,37,50,52,51,50,51,50,50,51,48,47,46,44,45,44,46,46,49,48,50,47,51,51,51,48.125
8083,2025년04월24일,시목부강로,상행,53,57,47,42,50,46,50,47,47,45,51,48,48,48,47,47,50,52,50,49,50,52,51,54,49.2083333
8084,2025년04월24일,시목부강로,하행,50,47,52,52,49,49,46,48,49,46,47,46,45,44,46,45,46,46,49,48,48,50,51,51,47.9166667
8170,2025년04월25일,시목부강로,상행,49,57,54,48,49,50,51,51,51,48,49,49,46,49,49,44,48,50,48,51,50,56,52,54,50.125
8171,2025년04월25일,시목부강로,하행,49,41,50,49,45,50,51,48,49,48,46,48,47,46,45,47,44,48,49,48,49,46,49,50,47.5833333
8257,2025년04월26일,시목부강로,상행,53,55,52,50,38,50,52,50,50,51,51,51,51,50,47,50,51,51,51,48,50,52,49,50,50.125
8258,2025년04월26일,시목부강로,하행,52,47,40,57,44,50,51,50,47,48,47,48,46,47,46,49,45,47,47,51,51,45,46,51,48.0
