Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
7577,2025년04월18일,연청로,상행,-,-,-,-,-,-,-,-,-,-,-,-,86,84,88,88,94,93,99,89,83,84,87,78,87.75
7663,2025년04월19일,연청로,상행,87,82,78,88,78,90,90,89,88,89,88,93,93,90,90,92,90,94,83,76,78,82,80,60,85.3333333
7749,2025년04월20일,연청로,상행,73,85,76,87,91,83,93,88,92,95,91,92,89,94,92,89,86,91,93,92,84,82,81,78,87.375
7831,2025년04월21일,연청로,상행,85,88,77,89,76,84,89,90,92,88,86,85,85,87,83,89,91,94,95,83,85,83,80,80,86.0
7917,2025년04월22일,연청로,상행,85,85,82,82,78,85,87,83,83,77,80,78,78,78,80,80,80,85,92,90,76,71,90,75,81.6666667
8003,2025년04월23일,연청로,상행,79,83,81,88,79,89,89,91,93,87,84,87,84,81,86,84,93,96,97,88,87,82,81,74,85.9583333
8089,2025년04월24일,연청로,상행,79,86,86,87,86,83,92,92,92,85,83,83,82,85,87,84,93,92,93,87,83,76,83,87,86.0833333
8090,2025년04월24일,연청로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,80,79,80,78,75,81,80,78.875
8176,2025년04월25일,연청로,상행,85,82,81,88,80,97,91,94,94,89,92,88,84,88,87,89,92,92,95,97,82,87,85,86,88.5416667
8177,2025년04월25일,연청로,하행,79,82,79,73,77,76,78,76,75,76,72,76,76,75,76,77,79,80,79,80,77,78,81,80,77.375
8263,2025년04월26일,연청로,상행,87,86,84,84,83,83,91,92,94,88,87,89,91,90,90,91,92,92,91,89,83,83,85,76,87.5416667
8264,2025년04월26일,연청로,하행,90,76,79,81,80,79,79,74,74,76,78,75,78,76,78,78,83,80,80,77,81,79,77,77,78.5416667
8346,2025년04월27일,연청로,상행,81,91,95,84,76,86,92,91,90,91,93,91,89,90,90,87,87,86,94,94,87,80,87,76,87.8333333
8347,2025년04월27일,연청로,하행,81,79,76,75,77,79,77,77,78,77,79,80,80,80,79,77,78,78,81,78,78,79,79,80,78.4166667
8429,2025년04월28일,연청로,상행,87,81,79,91,83,94,89,97,94,88,83,85,88,89,85,86,90,90,95,94,80,82,82,81,87.2083333
8430,2025년04월28일,연청로,하행,82,84,86,77,79,78,83,75,76,73,73,76,76,77,76,76,78,81,81,78,76,78,79,78,78.1666667
8514,2025년04월29일,연청로,상행,76,79,79,83,77,94,90,92,93,86,83,84,84,84,83,86,92,95,91,86,85,79,80,82,85.125
8515,2025년04월29일,연청로,하행,77,80,75,73,75,77,81,74,75,73,75,74,75,74,76,79,79,81,77,78,80,76,78,78,76.6666667
8599,2025년04월30일,연청로,상행,78,86,84,88,77,84,92,94,96,88,88,85,88,87,85,86,91,94,92,96,85,87,87,-,87.7391304
8600,2025년04월30일,연청로,하행,80,76,75,77,79,80,79,75,76,76,73,75,77,78,74,76,79,78,78,78,76,78,78,-,77.0
8686,2025년05월01일,연청로,상행,84,91,79,78,82,88,88,89,91,85,87,83,76,74,82,79,75,81,86,87,83,77,80,82,82.7916667
8687,2025년05월01일,연청로,하행,74,82,82,81,72,78,77,77,81,77,79,70,65,67,74,67,68,77,79,76,75,76,79,74,75.2916667
8771,2025년05월02일,연청로,상행,78,83,89,81,91,90,89,96,94,86,83,84,86,88,84,89,90,93,95,94,83,85,75,75,86.7083333
8772,2025년05월02일,연청로,하행,78,70,81,76,76,77,80,74,74,74,75,75,76,76,79,78,79,80,77,78,78,81,79,77,77.0
8858,2025년05월03일,연청로,상행,83,84,76,76,70,81,74,74,76,76,79,81,87,91,96,91,94,89,84,91,82,86,85,85,82.9583333
8859,2025년05월03일,연청로,하행,78,77,78,66,71,53,56,63,64,64,69,73,76,77,79,79,79,79,80,79,73,76,77,83,72.875
8945,2025년05월04일,연청로,상행,94,86,80,89,86,88,93,93,92,89,92,93,89,91,91,88,89,91,87,94,83,88,84,83,88.875
8946,2025년05월04일,연청로,하행,82,77,80,75,69,75,78,77,79,75,76,81,78,77,79,76,77,79,77,78,77,80,79,79,77.5
