Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
38,2025년01월01일,용연로,상행,62,63,-,62,-,55,68,67,64,57,61,59,60,59,60,63,57,60,60,59,52,59,50,58,59.7727273
39,2025년01월01일,용연로,하행,-,60,67,60,38,61,58,50,60,54,65,51,52,54,54,55,57,58,57,56,67,53,56,59,56.6086957
109,2025년01월02일,용연로,상행,-,-,-,55,52,48,61,61,63,59,54,60,54,57,59,61,60,62,59,59,56,52,59,62,57.7619048
110,2025년01월02일,용연로,하행,-,52,-,-,50,58,57,52,63,59,52,53,50,53,55,50,57,58,56,54,57,69,63,52,55.7142857
180,2025년01월03일,용연로,상행,65,74,68,50,52,60,60,63,57,60,54,61,59,56,59,59,60,61,55,62,55,59,52,50,58.7916667
181,2025년01월03일,용연로,하행,-,64,52,54,-,60,66,58,58,57,49,52,52,54,51,51,56,55,58,56,60,-,53,58,55.9047619
252,2025년01월04일,용연로,상행,78,54,-,48,47,50,63,57,58,54,61,62,58,63,63,58,60,67,56,55,60,44,55,51,57.4782609
253,2025년01월04일,용연로,하행,47,-,52,60,52,45,55,59,55,51,48,51,49,54,54,53,54,52,59,58,59,56,59,-,53.7272727
323,2025년01월05일,용연로,상행,-,61,66,-,-,54,64,60,60,60,50,64,52,57,59,53,52,45,57,48,58,45,63,40,55.6190476
324,2025년01월05일,용연로,하행,58,47,54,-,36,-,58,48,50,49,44,49,50,50,53,47,49,53,52,59,56,59,55,47,51.0454545
394,2025년01월06일,용연로,상행,-,39,40,35,36,46,54,54,59,59,54,57,57,60,55,58,56,65,63,59,67,55,55,60,54.0434783
395,2025년01월06일,용연로,하행,-,52,42,34,49,50,52,55,54,51,49,50,50,52,54,54,54,56,58,59,64,51,57,44,51.7826087
