Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
40,2025년01월01일,월산공단로,상행,-,-,-,-,-,-,16,-,-,50,35,46,53,51,55,18,60,31,20,-,22,-,-,-,38.0833333
41,2025년01월01일,월산공단로,하행,-,-,-,-,-,-,10,-,-,32,22,29,34,32,44,16,38,30,16,-,-,-,-,-,27.5454545
111,2025년01월02일,월산공단로,상행,-,-,-,-,-,-,20,-,33,39,-,55,48,51,54,34,56,26,55,42,64,-,-,-,44.3846154
112,2025년01월02일,월산공단로,하행,-,-,-,-,-,-,13,-,36,25,-,35,31,32,39,29,33,25,35,27,40,-,-,-,30.7692308
182,2025년01월03일,월산공단로,상행,-,-,-,-,-,-,20,30,27,32,19,20,51,21,24,39,48,36,30,38,17,-,-,-,30.1333333
183,2025년01월03일,월산공단로,하행,-,-,-,-,-,-,13,19,27,28,19,37,33,26,31,36,33,23,32,25,41,-,-,-,28.2
254,2025년01월04일,월산공단로,상행,-,-,-,-,-,-,-,-,27,46,16,45,74,53,28,45,54,47,20,-,50,29,-,-,41.0769231
255,2025년01월04일,월산공단로,하행,-,-,-,-,-,-,-,-,17,29,11,23,47,34,26,30,34,30,31,-,32,27,-,-,28.5384615
325,2025년01월05일,월산공단로,상행,-,-,-,-,-,-,-,-,59,67,12,22,54,15,19,11,62,27,27,20,-,-,38,-,33.3076923
326,2025년01월05일,월산공단로,하행,-,-,-,-,-,-,-,-,37,43,-,14,33,-,14,-,38,30,33,12,-,-,40,-,29.4
396,2025년01월06일,월산공단로,상행,-,-,-,-,-,-,-,58,39,43,70,45,24,65,28,17,23,31,60,23,-,65,34,-,41.6666667
397,2025년01월06일,월산공단로,하행,-,-,-,-,-,-,-,37,33,47,39,36,15,41,19,11,16,19,38,22,-,42,22,-,29.1333333
467,2025년01월07일,월산공단로,상행,-,-,-,-,-,-,59,17,18,30,20,24,30,28,51,38,35,40,39,34,-,-,17,17,31.0625
468,2025년01월07일,월산공단로,하행,-,-,-,-,-,-,37,11,40,19,17,15,19,18,32,27,26,26,32,29,-,-,35,11,24.625
538,2025년01월08일,월산공단로,상행,-,-,-,-,-,-,-,-,18,49,16,18,35,32,28,31,56,18,37,14,-,74,51,-,34.0714286
539,2025년01월08일,월산공단로,하행,-,-,-,-,-,-,-,28,13,31,10,12,22,23,21,24,35,14,30,-,-,-,32,-,22.6923077
609,2025년01월09일,월산공단로,상행,-,-,-,-,-,-,53,56,43,32,13,43,30,44,30,39,19,38,23,31,10,-,35,18,32.7647059
610,2025년01월09일,월산공단로,하행,-,-,-,-,-,-,34,22,28,21,-,27,19,38,19,35,18,38,18,20,-,-,35,11,25.5333333
680,2025년01월10일,월산공단로,상행,-,-,-,-,-,-,-,34,25,45,24,21,41,44,24,36,41,47,34,31,10,-,-,19,31.7333333
681,2025년01월10일,월산공단로,하행,-,-,-,-,-,-,-,28,15,30,18,17,26,35,16,28,27,39,32,24,-,-,-,12,24.7857143
751,2025년01월11일,월산공단로,상행,-,-,-,-,-,-,-,-,62,21,37,49,63,26,48,18,46,45,17,-,15,18,-,-,35.7692308
752,2025년01월11일,월산공단로,하행,-,-,-,-,-,-,-,-,39,17,26,37,40,16,33,23,29,28,13,-,-,-,-,-,27.3636364
822,2025년01월12일,월산공단로,상행,-,-,-,-,-,-,-,63,-,77,16,10,31,66,20,33,38,26,53,62,-,-,12,-,39.0
823,2025년01월12일,월산공단로,하행,-,-,-,-,-,-,-,40,-,49,18,-,27,42,21,27,25,20,37,18,-,50,-,-,31.1666667
893,2025년01월13일,월산공단로,상행,-,87,-,-,-,-,46,48,56,30,39,44,40,52,49,39,24,43,22,47,-,54,21,-,43.5882353
894,2025년01월13일,월산공단로,하행,-,56,-,-,-,-,37,30,36,30,25,36,27,33,31,25,31,29,16,30,-,34,13,-,30.5294118
964,2025년01월14일,월산공단로,상행,-,-,-,-,-,-,30,42,37,21,25,44,15,25,17,50,27,44,46,22,16,62,-,-,32.6875
965,2025년01월14일,월산공단로,하행,-,-,-,-,-,-,19,27,27,14,34,28,11,18,28,32,29,28,30,18,10,39,-,-,24.5
1035,2025년01월15일,월산공단로,상행,-,-,-,-,-,-,-,36,53,14,19,18,14,18,22,18,38,24,46,19,-,31,34,-,26.9333333
1036,2025년01월15일,월산공단로,하행,-,-,-,-,-,-,-,23,33,10,32,16,11,16,14,23,41,21,33,12,32,24,21,-,22.625
1106,2025년01월16일,월산공단로,상행,-,-,-,-,-,-,17,33,24,37,20,27,15,13,23,19,52,32,36,40,32,27,69,-,30.3529412
1107,2025년01월16일,월산공단로,하행,-,-,-,-,-,-,11,21,23,29,13,20,14,-,20,20,34,21,24,26,27,27,44,-,23.375
1177,2025년01월17일,월산공단로,상행,-,-,-,-,-,-,66,38,30,27,21,36,26,34,19,24,28,36,48,52,16,58,20,17,33.1111111
1178,2025년01월17일,월산공단로,하행,-,-,-,-,-,-,42,25,19,20,20,26,16,33,15,21,22,22,33,31,11,37,13,-,23.8823529
1248,2025년01월18일,월산공단로,상행,-,-,-,-,-,-,-,18,24,41,17,33,22,59,42,10,38,39,48,53,72,-,-,-,36.8571429
