Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
42,2025년01월01일,일반국도1호선,상행,39.1429,35.5,29.1429,32.25,47.4286,45.4286,34.5,39.8571,42.4286,37.7143,42.5714,36.8571,37.4286,37.8571,35.7143,36.7143,36,34.1429,32,31.4286,39,39.8571,40.7143,41.7143,37.7247083
43,2025년01월01일,일반국도1호선,하행,38.4286,39.8571,34.75,35.5,34.25,33.5,39,45,28,30.7143,33.7143,32.8571,26.8571,28.5714,30.2857,28.1429,31.8571,31,30.4286,33.8571,32.8571,31.4286,34.75,38,33.483625
113,2025년01월02일,일반국도1호선,상행,37.75,34.75,32.3333,40.25,36.5,47.7143,41.4286,39.8571,31.7143,37.5714,35,38,38.4286,35.5714,37,41.1429,38.7143,32.8571,31.4286,30.2857,34.1429,36.5714,42,35,36.9171625
114,2025년01월02일,일반국도1호선,하행,37.75,39.75,35.75,36.5,43.25,44.2857,32.4286,35.5714,35.2857,32.4286,27.4286,25.1429,31.7143,30,29.7143,28.8571,33.5714,31,28.2857,34.2857,47.8571,35.4286,33.7143,34,34.3333333
184,2025년01월03일,일반국도1호선,상행,37,36,38.75,28,50,49.7143,41.5714,41.2857,34.1429,36.1429,35,41.5714,34,39.4286,34.4286,36.5714,35.1429,32.2857,32,30.8571,33.5714,36.8571,41.4286,37.2857,37.2098208
185,2025년01월03일,일반국도1호선,하행,38.25,36.25,38,42,38,37.25,39.1429,37.1429,32.7143,28,34.7143,27.4286,29.5714,36.7143,28.7143,30.5714,30.5714,28.8571,28.5714,34.2857,35.5714,34.4286,41.1429,37.4286,34.3883958
256,2025년01월04일,일반국도1호선,상행,36.25,31.75,32.75,37.5,44.8571,48.1429,38.7143,37,37.2857,32.5714,37.1429,34.2857,37.5714,36.7143,37.8571,35.8571,35.5714,33.7143,30.5714,34.2857,36.2857,37.4286,27.1429,45,36.5104125
257,2025년01월04일,일반국도1호선,하행,34,34,37.25,40,32.75,34,38.5714,35,34.5714,34.2857,30.4286,28.8571,26.5714,27.1429,31,29.5714,26.7143,31.8571,29.8571,31.2857,30.2857,36,33.1429,41.4286,32.8571375
327,2025년01월05일,일반국도1호선,상행,37.25,38.25,37.75,35,35,35.25,44.5714,31,39.1429,36.5714,37.7143,39.4286,38.7143,35.5714,35.4286,36.5714,38,35.1429,33.8571,32.8571,33.7143,36.1429,42.7143,32.7143,36.5982167
328,2025년01월05일,일반국도1호선,하행,28.8571,33.75,42.1429,41.25,38,31.75,38.1429,35.1429,33.2857,34,30.7143,27.7143,33.2857,30.8571,31.4286,29.5714,29.5714,30.1429,33.5714,34.7143,34.7143,36.8571,36.1429,39.7143,33.9717292
398,2025년01월06일,일반국도1호선,상행,37.5,44,38.5,38.75,38.75,48.8571,42.7143,35.5714,31,33.5714,32.5714,41.5714,33.2857,34,37,34,36.2857,33.7143,35.5714,35.1429,32.4286,39.7143,47.5714,43,37.7113042
399,2025년01월06일,일반국도1호선,하행,38.5,38.75,44.4286,37.75,38,40.2857,38.8571,31.7143,33.8571,34.4286,31.7143,33.5714,26.2857,33,28,30.1429,30.5714,29.1429,28.4286,34.8571,33.4286,35.1429,43,33,34.4523833
469,2025년01월07일,일반국도1호선,상행,30.2857,37.3333,31.5714,28,32.2857,49.5714,44,38.4286,33.5714,37.1429,35.5714,37.2857,36,40.2857,37,36.2857,33.4286,29.5714,31.5714,37.8571,31.8571,40.2857,43,26.8571,35.7936375
470,2025년01월07일,일반국도1호선,하행,29.4286,34.1429,41.75,40.5,35.75,44.4286,39.2857,39,35.7143,33.2857,32.8571,30.4286,33.1429,29.2857,28,30.4286,27.5714,28.2857,28.5714,33,28.8571,35.8571,35.4286,34.25,33.71875
540,2025년01월08일,일반국도1호선,상행,36.5714,40,48.4286,39.25,34,41.7143,42,39.2857,32.5714,35.8571,32.5714,36.4286,32.4286,33.1429,31.5714,32.4286,36.2857,34.5714,35.4286,29.5714,33,34.1429,33.5714,22,35.284225
541,2025년01월08일,일반국도1호선,하행,34.75,30.8571,42,36.75,37.6667,39.8571,34.4286,32,32.4286,29.5714,30.4286,30.1429,29.7143,33.7143,28.2857,30.1429,32.8571,31.2857,27.8571,31.2857,38.7143,34.7143,27.5,31.8571,32.8670625
611,2025년01월09일,일반국도1호선,상행,29,31.75,32.5,42.1429,43.8571,42.7143,39.7143,36,31.8571,32.1429,39.5714,34.5714,35.5714,34.5714,38.8571,38.5714,34.7143,35.5714,30,31.8571,32,30,44.7143,40,35.927075
