Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
46,2025년01월01일,임난수로,상행,77,-,93,-,76,75,66,78,68,55,64,66,60,63,64,52,69,64,65,75,73,61,101,-,69.7619048
47,2025년01월01일,임난수로,하행,89,68,-,-,-,74,36,55,83,65,49,46,64,63,59,59,73,60,69,82,75,109,67,68,67.2857143
117,2025년01월02일,임난수로,상행,-,-,-,-,103,79,60,66,52,52,65,70,69,74,66,61,60,53,59,71,58,64,58,89,66.45
118,2025년01월02일,임난수로,하행,51,-,-,-,-,-,53,59,42,55,71,52,49,57,56,52,66,62,68,66,84,73,81,74,61.6315789
188,2025년01월03일,임난수로,상행,117,-,-,-,99,83,59,58,55,48,64,88,62,69,56,59,59,58,54,62,54,66,66,66,66.7619048
189,2025년01월03일,임난수로,하행,87,-,-,-,-,52,44,75,36,52,47,49,51,49,48,44,59,57,55,60,66,66,69,80,57.3
260,2025년01월04일,임난수로,상행,92,-,-,-,94,87,85,82,66,65,65,55,71,59,63,68,65,60,63,72,62,58,77,39,68.952381
261,2025년01월04일,임난수로,하행,86,105,-,-,-,-,66,69,72,65,61,46,70,57,68,59,60,71,57,74,74,53,73,87,68.65
331,2025년01월05일,임난수로,상행,-,-,-,-,70,80,86,83,71,68,64,58,66,76,54,74,73,58,53,78,69,83,75,72,70.55
332,2025년01월05일,임난수로,하행,98,-,-,-,-,-,63,74,58,61,58,44,58,63,48,62,70,54,58,73,75,72,48,69,63.4736842
402,2025년01월06일,임난수로,상행,-,-,-,-,80,73,60,70,59,66,69,61,61,70,54,68,64,62,53,66,62,74,47,56,63.75
403,2025년01월06일,임난수로,하행,68,-,-,-,-,58,62,48,42,60,68,62,52,62,48,54,50,64,68,59,69,67,74,90,61.25
473,2025년01월07일,임난수로,상행,-,-,-,-,93,82,60,66,55,55,60,70,57,54,54,65,51,57,57,57,67,74,67,57,62.9
474,2025년01월07일,임난수로,하행,69,109,-,-,-,-,57,60,47,63,42,56,40,59,57,62,50,57,58,63,90,76,68,82,63.25
544,2025년01월08일,임난수로,상행,-,-,-,-,82,82,61,70,59,57,66,74,66,55,68,64,73,53,54,62,61,76,61,53,64.85
545,2025년01월08일,임난수로,하행,62,-,54,-,-,50,70,71,47,62,66,59,40,40,54,44,54,48,62,66,82,73,59,75,58.952381
615,2025년01월09일,임난수로,상행,96,-,-,-,98,86,63,60,65,50,71,61,51,66,66,60,63,59,59,64,59,74,70,47,66.0952381
616,2025년01월09일,임난수로,하행,48,-,-,-,-,-,59,82,61,58,48,58,55,49,53,64,53,65,62,77,72,86,51,73,61.7894737
686,2025년01월10일,임난수로,상행,-,-,-,106,105,76,64,62,49,54,47,59,71,71,56,52,49,55,58,58,65,59,61,35,62.4761905
687,2025년01월10일,임난수로,하행,85,-,-,-,107,-,68,60,53,51,40,45,71,57,50,50,49,55,59,81,69,61,75,73,62.95
757,2025년01월11일,임난수로,상행,60,-,-,-,68,83,90,72,76,62,55,67,66,67,67,58,54,57,74,80,80,69,74,89,69.9047619
758,2025년01월11일,임난수로,하행,72,-,-,-,-,72,76,62,64,61,47,71,65,62,66,49,56,65,74,80,63,81,86,72,67.2
828,2025년01월12일,임난수로,상행,-,-,-,-,-,89,107,85,88,62,51,62,72,66,54,60,51,60,82,71,81,88,65,86,72.6315789
829,2025년01월12일,임난수로,하행,80,-,-,-,-,-,-,60,86,62,42,62,48,78,46,62,55,59,74,62,72,84,73,74,65.5
899,2025년01월13일,임난수로,상행,-,56,-,-,98,74,61,62,64,59,61,68,52,59,72,62,63,60,44,55,55,66,62,-,62.65
900,2025년01월13일,임난수로,하행,90,87,-,-,-,-,48,63,53,50,52,56,42,53,63,56,50,64,51,68,91,54,63,71,61.25
970,2025년01월14일,임난수로,상행,-,-,99,-,104,83,63,65,60,58,70,58,77,51,59,55,59,51,57,50,45,72,71,75,65.8095238
971,2025년01월14일,임난수로,하행,-,-,-,-,-,-,36,75,51,41,43,46,47,43,48,59,47,53,66,65,54,77,75,62,54.8888889
1041,2025년01월15일,임난수로,상행,38,-,-,-,84,72,72,54,61,67,66,66,64,68,71,61,64,55,52,53,64,59,67,-,62.9
1042,2025년01월15일,임난수로,하행,-,72,-,-,-,-,63,59,49,42,43,44,55,47,63,47,57,49,55,61,75,67,52,-,55.5555556
1112,2025년01월16일,임난수로,상행,-,-,-,-,82,83,58,56,54,57,56,50,72,75,62,63,59,48,54,47,58,79,57,75,62.25
1113,2025년01월16일,임난수로,하행,70,-,-,-,-,50,53,50,41,46,49,37,43,67,44,48,58,48,61,69,64,58,72,88,55.8
1183,2025년01월17일,임난수로,상행,76,54,-,-,94,91,65,58,56,51,51,52,67,68,69,56,48,46,56,51,55,70,56,78,62.1818182
1184,2025년01월17일,임난수로,하행,75,-,103,-,-,64,61,57,42,40,35,48,55,65,42,48,46,62,64,73,59,68,77,47,58.6190476
1254,2025년01월18일,임난수로,상행,49,-,-,-,97,68,68,72,61,53,50,58,53,73,55,74,62,60,70,59,71,67,80,49,64.2380952
1255,2025년01월18일,임난수로,하행,77,-,-,-,-,-,57,75,44,49,55,54,57,72,54,62,62,56,61,68,72,71,100,72,64.1052632
1325,2025년01월19일,임난수로,상행,-,-,-,-,90,93,72,58,54,65,53,59,77,58,48,60,54,47,66,71,66,83,61,110,67.25
1326,2025년01월19일,임난수로,하행,111,-,-,-,-,-,59,66,37,59,49,53,49,61,53,53,47,54,62,69,59,83,81,95,63.1578947
1396,2025년01월20일,임난수로,상행,-,-,-,61,81,81,63,66,63,51,78,68,46,77,18,43,61,58,46,57,38,74,41,69,59.047619
1397,2025년01월20일,임난수로,하행,74,-,-,-,45,-,63,46,53,38,57,84,38,79,22,46,64,66,66,72,59,77,61,74,59.2
1468,2025년01월21일,임난수로,상행,-,-,-,-,95,78,50,71,60,68,82,67,70,84,-,-,89,56,50,60,-,63,76,64,69.5882353
1469,2025년01월21일,임난수로,하행,-,-,76,-,-,-,48,64,58,55,67,40,76,63,-,-,78,60,56,73,-,55,73,63,62.8125
1539,2025년01월22일,임난수로,상행,94,-,-,-,93,78,62,69,51,48,-,-,-,-,-,-,52,43,51,51,-,-,83,48,63.3076923
1540,2025년01월22일,임난수로,하행,94,-,-,-,-,45,68,23,48,50,-,-,-,-,-,-,33,48,55,66,-,-,62,82,56.1666667
1610,2025년01월23일,임난수로,상행,70,-,-,-,115,80,59,60,49,58,71,65,58,66,54,55,69,55,51,56,59,60,59,77,64.0952381
1611,2025년01월23일,임난수로,하행,72,-,62,-,-,-,60,59,49,44,48,59,50,46,45,50,48,64,60,69,71,76,68,62,58.1
1681,2025년01월24일,임난수로,상행,60,-,-,-,101,70,60,53,52,55,54,68,70,65,62,53,73,60,58,54,68,66,73,54,63.2857143
1682,2025년01월24일,임난수로,하행,74,67,-,-,-,44,47,49,47,62,55,57,65,48,59,55,60,62,53,55,76,88,55,66,59.2380952
1752,2025년01월25일,임난수로,상행,106,-,-,-,108,87,70,86,59,64,63,54,65,69,55,70,64,59,64,63,73,78,58,55,70.0
1753,2025년01월25일,임난수로,하행,76,69,-,-,-,-,81,66,46,63,47,53,55,42,45,58,46,46,81,75,73,64,62,67,60.75
1823,2025년01월26일,임난수로,상행,-,-,94,-,94,83,67,68,78,71,67,69,56,55,62,70,58,64,63,76,70,62,74,74,70.2380952
1824,2025년01월26일,임난수로,하행,89,-,-,-,-,-,85,-,105,50,58,66,57,60,57,52,47,70,74,88,91,67,67,53,68.6666667
1894,2025년01월27일,임난수로,상행,-,-,-,-,85,94,82,86,64,78,65,70,82,71,78,59,63,50,61,75,50,43,52,93,70.05
1895,2025년01월27일,임난수로,하행,42,-,-,-,-,-,-,94,41,80,48,55,73,54,49,55,48,69,64,98,94,48,68,59,63.2777778
1965,2025년01월28일,임난수로,상행,-,-,-,-,55,63,56,55,50,57,65,79,71,73,58,79,74,52,61,73,60,94,40,13,61.4
1966,2025년01월28일,임난수로,하행,74,49,-,76,-,-,80,72,67,76,58,56,57,61,54,65,63,53,77,-,72,80,79,61,66.5
