Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
7431,2025년04월16일,조치원로,상행,-,-,-,-,-,-,-,-,-,-,-,30,31,29,33,32,36,37,37,38,37,38,39,42,35.3076923
7432,2025년04월16일,조치원로,하행,-,-,-,-,-,-,-,-,-,-,-,31,29,25,29,26,22,29,24,34,35,37,39,41,30.8461538
7510,2025년04월17일,조치원로,상행,45,47,48,42,43,41,39,28,24,27,27,24,27,28,29,32,36,35,36,41,38,39,41,41,35.75
7511,2025년04월17일,조치원로,하행,42,42,45,37,46,40,34,27,30,28,29,30,27,25,33,24,28,26,27,34,38,35,39,42,33.6666667
7594,2025년04월18일,조치원로,상행,45,43,49,39,38,37,33,34,23,26,27,27,22,25,31,27,35,30,35,31,40,36,42,45,34.1666667
7595,2025년04월18일,조치원로,하행,37,41,41,43,39,41,34,26,29,30,30,30,26,25,28,25,23,28,26,32,37,39,39,42,32.9583333
7680,2025년04월19일,조치원로,상행,44,44,48,47,43,43,39,32,26,27,24,16,32,26,17,22,24,28,25,30,33,39,34,27,32.0833333
7681,2025년04월19일,조치원로,하행,43,41,41,43,40,38,34,29,33,26,20,25,19,18,16,19,23,21,18,32,36,34,37,39,30.2083333
7764,2025년04월20일,조치원로,상행,27,36,45,47,44,42,39,34,31,28,24,29,27,30,30,30,36,36,33,34,43,42,45,41,35.5416667
7765,2025년04월20일,조치원로,하행,42,41,44,39,37,41,35,34,31,30,29,24,23,26,22,22,26,28,29,33,39,42,42,42,33.375
7848,2025년04월21일,조치원로,상행,45,45,48,38,43,43,36,27,29,36,29,34,24,28,34,33,35,32,34,39,38,43,42,45,36.6666667
7849,2025년04월21일,조치원로,하행,42,44,43,39,42,38,34,28,32,29,30,28,28,27,30,30,27,25,25,36,37,38,42,45,34.125
7934,2025년04월22일,조치원로,상행,50,51,50,51,44,45,39,36,33,31,30,30,30,26,31,32,33,34,36,35,31,32,42,45,37.375
7935,2025년04월22일,조치원로,하행,44,39,44,37,46,40,34,24,23,23,23,23,22,24,22,22,21,20,28,37,35,36,38,41,31.0833333
8020,2025년04월23일,조치원로,상행,47,44,44,42,43,38,35,35,30,33,35,32,31,34,38,38,37,33,35,30,31,41,43,43,37.1666667
8021,2025년04월23일,조치원로,하행,47,40,48,40,37,37,40,31,29,31,31,28,26,29,32,27,28,25,27,32,35,36,42,40,34.0833333
8107,2025년04월24일,조치원로,상행,41,46,45,43,41,39,31,35,35,28,32,29,31,33,28,29,33,34,30,36,40,32,39,44,35.5833333
8108,2025년04월24일,조치원로,하행,43,41,41,43,40,38,34,28,28,28,28,25,29,26,29,24,23,26,23,34,36,39,41,40,32.7916667
8194,2025년04월25일,조치원로,상행,49,43,43,43,41,42,37,35,35,31,33,33,32,32,37,41,32,35,34,36,36,39,40,40,37.4583333
8195,2025년04월25일,조치원로,하행,39,39,46,39,44,40,41,30,33,28,25,28,23,20,24,21,22,24,27,32,36,38,40,43,32.5833333
8279,2025년04월26일,조치원로,상행,46,41,45,47,44,38,38,26,25,21,23,24,32,31,33,30,31,32,29,35,33,37,42,38,34.2083333
8280,2025년04월26일,조치원로,하행,40,42,44,46,42,37,43,29,24,26,24,22,18,13,15,28,22,30,27,27,37,40,42,38,31.5
8362,2025년04월27일,조치원로,상행,46,48,46,48,45,36,37,31,37,38,26,20,30,32,27,33,30,29,29,37,41,40,42,39,36.125
8363,2025년04월27일,조치원로,하행,43,47,41,45,42,38,34,31,30,21,22,16,22,27,25,25,29,28,31,33,37,39,39,44,32.875
8445,2025년04월28일,조치원로,상행,48,44,48,47,41,41,40,33,31,32,31,34,23,26,33,38,35,27,29,40,40,31,46,44,36.75
8446,2025년04월28일,조치원로,하행,46,45,40,40,40,40,39,25,27,26,29,26,25,22,20,20,30,27,24,34,36,36,42,45,32.6666667
8530,2025년04월29일,조치원로,상행,48,47,48,47,41,39,34,32,33,27,31,32,23,19,34,36,37,36,34,32,32,31,41,40,35.5833333
8531,2025년04월29일,조치원로,하행,44,46,42,46,38,36,37,26,29,26,27,26,22,29,30,25,24,27,22,31,35,30,39,38,32.2916667
8617,2025년04월30일,조치원로,상행,37,44,46,44,42,38,32,33,33,30,36,31,27,23,30,37,34,31,35,33,30,38,40,-,34.9565217
8618,2025년04월30일,조치원로,하행,39,44,38,41,38,37,36,27,28,28,29,27,26,28,29,27,24,22,23,28,36,32,35,-,31.3913043
8702,2025년05월01일,조치원로,상행,43,46,42,44,41,41,33,27,31,31,29,22,27,29,30,34,31,28,34,37,37,42,42,42,35.125
8703,2025년05월01일,조치원로,하행,42,45,42,43,41,39,35,28,30,29,28,22,19,16,22,22,21,25,25,33,31,35,37,42,31.3333333
8789,2025년05월02일,조치원로,상행,47,46,45,55,41,41,35,32,33,35,33,31,33,35,31,33,34,32,34,35,39,41,44,45,37.9166667
8790,2025년05월02일,조치원로,하행,40,39,42,41,42,40,40,28,29,21,22,23,27,22,29,23,20,24,22,34,34,34,34,36,31.0833333
8876,2025년05월03일,조치원로,상행,43,45,36,28,27,35,30,29,31,28,31,26,30,31,28,30,30,26,32,36,35,34,44,39,32.6666667
8877,2025년05월03일,조치원로,하행,43,39,40,42,42,38,25,24,26,22,23,16,22,19,21,25,29,23,27,26,29,31,36,38,29.4166667
8961,2025년05월04일,조치원로,상행,43,47,46,45,46,39,41,35,27,28,29,29,27,27,28,31,34,34,33,33,35,41,43,45,36.0833333
8962,2025년05월04일,조치원로,하행,38,40,38,43,42,40,35,31,29,23,24,24,21,22,21,18,24,26,26,32,34,30,39,40,30.8333333
9044,2025년05월05일,조치원로,상행,48,46,43,53,45,37,34,36,33,32,28,23,29,31,30,32,28,22,22,32,44,42,40,44,35.5833333
9045,2025년05월05일,조치원로,하행,45,40,40,40,40,41,33,31,31,26,30,28,25,28,27,24,21,25,27,31,30,32,38,42,32.2916667
