Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
54,2025년01월01일,지방도96호선,상행,29.6667,26.8333,22.8333,38.8333,24.6667,29.2,28.25,27.5,27.1667,30.6667,30.1667,26,27,24.5,25.3333,24.3333,25,25,23,23.3333,23.5,22.3333,29.75,25.6,26.6861083
55,2025년01월01일,지방도96호선,하행,37.5556,36.3333,37.3333,49,39,41,40.125,37.3333,35.3333,37.5556,37.2222,34.4444,34.6667,32.4444,33.6667,33.6667,33.7778,34.4444,33.8889,35,34.2222,32.5556,37.875,43.1429,36.7328042
125,2025년01월02일,지방도96호선,상행,30.5,26.3333,37.5,35,30.8,35.6667,33,31.1667,25.1667,28.3333,24,25.3333,29.3333,25,22.6667,26.3333,23,26,24.8333,27.5,27.8333,24,29,24,28.0124958
126,2025년01월02일,지방도96호선,하행,43.125,45.2,51.4,44.7143,46.1429,42.1111,41.7778,37.2222,32.6667,34.7778,33.2222,33.6667,35,33.6667,32.6667,34.7778,31.5556,34.5556,33,35.6667,37.6667,35.3333,39.1111,37,37.7511208
196,2025년01월03일,지방도96호선,상행,27,24.2,33,35.5,35,33.8333,35.1667,29.1667,26,28.8333,26.1667,24.3333,26,24.3333,24.5,25,23,24.8333,24.6667,25,25.3333,26.3333,26.8333,27.3333,27.5569375
197,2025년01월03일,지방도96호선,하행,47.6,40.7778,40.2,55.7143,43.4286,38.8889,42.6667,37.1111,33.6667,34.4444,33.5556,32.3333,33.8889,33.3333,33.1111,34.7778,32.5556,33.1111,32,34.8889,35.2222,35.7778,36.7778,37.2222,37.2105875
268,2025년01월04일,지방도96호선,상행,27.1667,28.5,23.25,35.3333,33.3333,32.5,28.6667,29.3333,28.6667,25.1667,26.5,26.3333,25.3333,25,26.3333,23.6667,25.3333,23,21.8333,24.1667,25.3333,28,23.8333,33.5,27.0868
269,2025년01월04일,지방도96호선,하행,36.8889,43.8889,39.8571,41.625,44,42.1429,39.125,35.375,34.5,30.75,29.125,28.5,26.75,27.625,26.875,25.875,27.125,26.625,26.625,27.75,28.875,31.25,32.125,44,33.2199083
339,2025년01월05일,지방도96호선,상행,27.6,32.3333,39.6667,38,38.6667,37,33.6,35.6667,30.1667,29.3333,26.6667,29.3333,25.1667,24.3333,25.5,22.8333,24.5,23.5,22.6667,23.1667,27.1667,24.5,30.1667,25.5,29.0430625
340,2025년01월05일,지방도96호선,하행,37.7778,44.625,53.4,48.8333,44.125,49,44.8571,41,38.4444,37.2222,34.5556,35,34.2222,32.2222,33.4444,31.7778,33,33.2222,32.3333,33.3333,36.5556,36.5556,35.3333,40,38.3683458
410,2025년01월06일,지방도96호선,상행,39,30.5,28,36,30,34.6667,31.3333,32.5,27.6667,26.3333,24.5,27.5,27.6667,26.5,25.1667,23.8333,25,24.8333,24.3333,26,26.3333,29.1667,27.1667,22.5,28.1875
411,2025년01월06일,지방도96호선,하행,46.1429,48.6667,40.8333,43.4,43.3333,41.2222,38.4444,35.8889,33.7778,34,35.4444,34.3333,35.6667,34.6667,33.5556,33.4444,33.7778,34.1111,33.4444,35.2222,37,36.4444,35.6667,33.1111,37.1499292
481,2025년01월07일,지방도96호선,상행,27.5,27,33.6667,43,39.75,28.5,30.3333,33,25.6667,28.5,26.3333,25.8333,27.6667,26,24.3333,25.5,23,24.8333,23.6667,25.1667,26.6667,26.8333,27.6667,25.6667,28.1701417
482,2025년01월07일,지방도96호선,하행,44,41.8333,45.8333,48,46.5714,42.25,39.1111,38.8889,33,35.4444,34.6667,34.1111,35.2222,32.8889,33.4444,33.7778,32.7778,35,33.5556,35,36.5556,36.6667,34.4444,37.4444,37.5203333
552,2025년01월08일,지방도96호선,상행,32,30.5,36.3333,38,39,33.6667,33.1667,30.6667,27.8333,25.5,24.8333,24.3333,24.5,24,27.6667,26.3333,26.1667,24,24.3333,28.1667,26,29,26.1667,25.6667,28.659725
553,2025년01월08일,지방도96호선,하행,39.3333,49.2,48.8333,58.1667,45.7143,43,39.4444,36.6667,34.3333,33.8889,33.5556,33.5556,32.6667,32.3333,34.4444,32.4444,33.1111,33.7778,32.4444,35.6667,33.6667,35.8889,34.7778,32.7778,37.4871708
623,2025년01월09일,지방도96호선,상행,27.8,21.25,24.6667,27,36.25,38.75,34,31.8333,26.6667,27.6667,29.5,27.1667,25.8333,25.1667,26.8333,25,25.8333,22.8333,23.6667,26.1667,26.3333,26.5,25.1667,28.1667,27.5020875
624,2025년01월09일,지방도96호선,하행,34.5714,35.5714,42.5,44.4,44.6667,44.125,39.1111,36.6667,31.8889,33.1111,35,34.4444,34.6667,32.7778,34.5556,34.4444,33.5556,32.7778,31.3333,31.4444,33.8889,33.2222,34,40.6667,35.9745875
694,2025년01월10일,지방도96호선,상행,31,43,25.75,23,23,35.75,31.1667,30.5,27.6667,26.8333,25.6667,24.5,24.8333,24.1667,24.8333,23.6667,26.5,24,22.8333,24.6667,23.6667,25.1667,25,28,26.88195
