Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
56,2025년01월01일,집현서1로,상행,-,-,-,-,-,-,-,-,-,31,28,24,-,26,29,24,26,23,21,16,27,25,-,32,25.5384615
57,2025년01월01일,집현서1로,하행,-,-,-,-,-,-,-,-,-,24,21,20,-,23,18,14,20,-,12,22,16,21,-,-,19.1818182
127,2025년01월02일,집현서1로,상행,-,-,-,-,-,-,-,26,28,30,31,-,23,26,22,22,23,25,26,27,29,20,-,-,25.5714286
128,2025년01월02일,집현서1로,하행,-,-,-,-,-,-,26,25,22,23,27,23,14,18,24,19,21,22,20,-,20,-,-,-,21.7142857
198,2025년01월03일,집현서1로,상행,-,-,-,-,-,-,-,22,28,25,28,25,30,25,29,33,28,26,26,25,28,22,25,-,26.5625
199,2025년01월03일,집현서1로,하행,-,-,-,-,-,-,-,23,20,21,21,14,23,23,26,15,24,19,14,27,20,15,22,-,20.4375
270,2025년01월04일,집현서1로,상행,-,-,-,-,-,-,-,-,33,27,25,26,26,25,29,28,27,28,26,32,22,27,23,20,26.5
271,2025년01월04일,집현서1로,하행,-,-,-,-,-,-,-,-,21,24,19,19,15,21,21,18,18,20,21,-,-,-,-,-,19.7272727
341,2025년01월05일,집현서1로,상행,-,-,-,-,-,-,-,-,-,-,24,29,25,25,26,22,25,24,24,26,17,25,-,-,24.3333333
342,2025년01월05일,집현서1로,하행,-,-,-,-,-,-,-,-,26,23,18,20,19,16,22,16,17,18,-,-,27,-,-,-,20.1818182
412,2025년01월06일,집현서1로,상행,-,-,-,-,-,-,-,23,26,29,20,27,24,26,28,23,25,26,26,26,24,28,26,-,25.4375
413,2025년01월06일,집현서1로,하행,-,-,-,-,-,-,-,22,22,16,21,24,22,22,22,11,22,21,20,19,24,21,-,-,20.6
483,2025년01월07일,집현서1로,상행,24,-,-,-,-,-,-,28,28,30,29,32,26,26,23,28,26,24,25,27,26,25,29,19,26.3888889
484,2025년01월07일,집현서1로,하행,-,-,-,-,-,-,-,23,22,23,23,18,-,22,23,24,19,19,21,-,22,15,-,-,21.0769231
554,2025년01월08일,집현서1로,상행,-,-,-,-,-,-,-,22,26,27,36,-,26,22,26,23,25,26,24,25,26,25,18,27,25.25
555,2025년01월08일,집현서1로,하행,-,-,-,-,-,-,-,21,21,22,22,20,-,19,-,20,20,22,14,-,-,12,-,-,19.3636364
625,2025년01월09일,집현서1로,상행,-,-,-,-,-,-,-,23,25,26,22,28,26,28,26,32,26,27,27,26,27,26,-,-,26.3333333
626,2025년01월09일,집현서1로,하행,-,-,-,-,-,-,-,22,20,22,19,22,24,23,25,16,20,19,16,17,25,-,-,-,20.7142857
696,2025년01월10일,집현서1로,상행,-,-,-,-,-,-,-,23,26,26,29,34,27,25,27,28,28,28,27,26,23,26,27,28,26.9411765
697,2025년01월10일,집현서1로,하행,-,-,-,-,-,-,30,24,23,23,21,22,19,22,23,23,23,18,22,13,28,-,-,-,22.2666667
767,2025년01월11일,집현서1로,상행,-,-,-,-,-,-,26,-,-,25,30,27,24,26,26,31,23,22,28,21,26,27,23,-,25.6666667
768,2025년01월11일,집현서1로,하행,-,-,-,-,-,-,-,-,31,21,21,20,17,14,19,11,16,18,21,13,-,-,-,-,18.5
838,2025년01월12일,집현서1로,상행,25,-,-,-,-,-,-,-,-,41,-,24,-,26,26,25,30,26,17,25,24,25,27,-,26.2307692
839,2025년01월12일,집현서1로,하행,-,-,-,-,-,-,-,-,21,22,19,22,19,21,19,20,21,22,21,24,11,-,-,-,20.1538462
909,2025년01월13일,집현서1로,상행,-,-,-,-,-,-,31,24,28,29,24,28,28,28,26,28,27,27,24,23,32,27,28,27,27.1666667
