Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
58,2025년01월01일,집현서로,상행,18.3333,25,-,-,-,-,-,21.5,22.6667,25,28.3333,22.6667,20.5,22.75,23.3333,22.6667,19.75,21.5,23.25,21,22.3333,25.3333,22,30,23.0482421
59,2025년01월01일,집현서로,하행,20,20,-,-,33,-,-,-,32.5,24.5,28.5,31.25,25.3333,28,21.3333,26,25,28.6667,19.6667,29.6667,28.5,32,30.5,-,26.9120389
129,2025년01월02일,집현서로,상행,-,-,-,-,-,28,24.3333,22,21.25,24.6667,24,26.25,21.5,23,20.5,21.75,20.25,21.5,22.75,24.25,21.6667,19.25,23,-,22.77315
130,2025년01월02일,집현서로,하행,-,-,-,19,-,30,29,32,24.5,27,21.3333,27.3333,26.3333,24.5,22.75,21.75,22.5,22.75,20,23.6667,22,27.3333,29.3333,29,25.10416
200,2025년01월03일,집현서로,상행,-,-,-,-,-,-,27.5,20.75,21.75,20,22.75,22.25,21.5,22,22,19.5,20.75,21.75,21.25,22.5,25,20.3333,23.3333,24,22.1620333
201,2025년01월03일,집현서로,하행,23.5,-,-,-,-,31.5,31,32,21,28.5,23,26,26.75,25.6667,23.3333,22.5,21.5,19.5,20.5,22.5,30,22,23.6667,24.5,24.945835
272,2025년01월04일,집현서로,상행,-,-,-,23.5,-,22.5,32,28,23.75,22.25,24.6667,22,23.5,26.75,22.5,24.25,19,20.5,20.5,22.3333,24.6667,21.3333,23,21,23.4
273,2025년01월04일,집현서로,하행,33,-,-,26,-,-,25,36,31,29.3333,20.75,26.3333,23.25,27.5,21.6667,23,24.5,27.75,22.6667,22.6667,30,27,21.5,26.5,26.270835
343,2025년01월05일,집현서로,상행,-,-,-,-,-,-,14,19,26,22,23.6667,21,26,24.3333,22,19.75,24,20.3333,17.3333,24,25,21,21,26,22.0231444
344,2025년01월05일,집현서로,하행,24,-,-,-,-,-,-,36,31.5,20.6667,28,28.75,23.3333,26,27,19.5,25.5,29,26,27.5,26.5,21,30,-,26.4852941
