Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
60,2025년01월01일,집현중앙로,상행,23,-,-,-,-,-,-,-,22,21,24,22,19,23,24,23,23,24,22,21,23,25,-,-,22.6
61,2025년01월01일,집현중앙로,하행,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,12,-,-,-,10,-,-,-,-,16.6666667
131,2025년01월02일,집현중앙로,상행,-,-,-,-,-,-,-,21,22,23,25,23,23,23,29,22,24,24,24,23,26,27,23,22,23.7647059
132,2025년01월02일,집현중앙로,하행,-,-,-,-,-,-,18,24,25,27,-,-,20,28,-,13,-,16,-,-,-,-,-,-,21.375
202,2025년01월03일,집현중앙로,상행,28,-,-,-,-,-,-,25,19,20,23,22,26,24,24,26,24,25,25,23,26,23,24,24,23.9444444
203,2025년01월03일,집현중앙로,하행,-,-,-,-,-,-,-,17,19,25,-,-,22,26,-,-,18,40,-,-,-,-,-,-,23.8571429
274,2025년01월04일,집현중앙로,상행,-,29,-,-,-,-,-,-,26,25,22,23,25,21,24,22,25,23,23,20,26,22,31,-,24.1875
275,2025년01월04일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,11.0
345,2025년01월05일,집현중앙로,상행,-,-,-,-,-,-,-,26,-,23,22,27,23,23,23,24,24,26,25,23,26,29,29,26,24.9375
346,2025년01월05일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,30,-,19,-,-,-,-,-,-,-,-,-,-,24.5
416,2025년01월06일,집현중앙로,상행,-,-,-,-,-,-,21,19,18,22,25,24,24,24,21,21,22,21,22,25,27,23,22,-,22.4117647
417,2025년01월06일,집현중앙로,하행,-,-,-,-,-,-,-,19,17,29,18,-,23,-,15,-,-,-,-,-,10,-,-,-,18.7142857
487,2025년01월07일,집현중앙로,상행,-,-,-,-,-,-,-,25,22,23,27,24,24,28,24,20,25,23,24,23,26,23,-,29,24.375
488,2025년01월07일,집현중앙로,하행,-,-,-,-,-,-,-,21,18,27,-,22,18,-,-,12,28,-,-,-,-,-,-,-,20.8571429
558,2025년01월08일,집현중앙로,상행,-,-,-,-,-,-,26,22,18,26,23,25,23,27,27,22,23,23,22,23,22,27,23,26,23.7777778
559,2025년01월08일,집현중앙로,하행,-,-,-,-,-,-,-,19,19,21,13,-,25,15,26,13,10,13,-,13,-,-,-,-,17.0
629,2025년01월09일,집현중앙로,상행,19,-,-,-,-,-,-,20,21,21,26,20,19,27,20,24,24,25,24,23,25,24,23,26,22.8333333
630,2025년01월09일,집현중앙로,하행,-,-,-,-,-,-,-,27,21,23,14,-,17,-,-,-,-,-,17,-,-,20,-,-,19.8571429
700,2025년01월10일,집현중앙로,상행,-,32,-,-,-,-,-,23,19,18,22,27,25,22,22,26,22,22,23,25,24,18,25,26,23.3888889
701,2025년01월10일,집현중앙로,하행,-,-,-,-,-,-,-,-,27,18,18,-,35,15,25,14,-,-,12,-,17,-,-,-,20.1111111
771,2025년01월11일,집현중앙로,상행,-,23,-,-,-,-,28,23,20,23,26,24,21,22,28,23,22,27,24,23,25,21,24,25,23.7894737
772,2025년01월11일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,14,-,10,-,-,12,-,-,-,-,-,-,-,-,12.0
842,2025년01월12일,집현중앙로,상행,-,-,-,-,-,-,-,-,25,30,30,21,26,23,22,21,24,25,22,23,24,25,23,23,24.1875
843,2025년01월12일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,26,-,-,-,-,14,-,-,-,-,12,-,-,-,-,17.3333333
913,2025년01월13일,집현중앙로,상행,-,-,-,-,-,-,25,26,19,19,19,19,24,24,26,24,25,25,24,24,24,20,23,27,23.1666667
914,2025년01월13일,집현중앙로,하행,-,-,-,-,-,-,11,25,22,24,11,-,19,-,-,11,-,-,-,-,24,-,-,-,18.375
984,2025년01월14일,집현중앙로,상행,-,-,-,-,-,-,27,28,17,21,24,21,25,27,22,23,27,24,23,24,22,25,19,-,23.4705882
985,2025년01월14일,집현중앙로,하행,-,-,-,-,-,-,-,16,27,26,-,-,28,17,-,-,11,-,-,-,-,10,-,-,19.2857143
1055,2025년01월15일,집현중앙로,상행,-,-,25,-,-,-,-,24,17,23,25,24,22,21,18,21,23,24,25,22,24,23,22,-,22.5294118
1056,2025년01월15일,집현중앙로,하행,-,-,-,-,-,-,-,24,25,15,18,-,-,11,13,-,22,-,-,-,-,-,-,-,18.2857143
1126,2025년01월16일,집현중앙로,상행,-,-,-,26,-,-,14,23,23,18,13,24,21,24,20,27,23,24,23,20,23,28,29,23,22.4210526
1127,2025년01월16일,집현중앙로,하행,-,-,-,-,-,-,-,25,21,25,-,22,17,12,-,14,-,11,-,11,-,-,-,-,17.5555556
1197,2025년01월17일,집현중앙로,상행,29,-,-,-,-,-,29,32,24,21,24,27,21,21,18,24,24,25,25,24,21,24,23,32,24.6315789
1198,2025년01월17일,집현중앙로,하행,-,-,-,-,-,-,-,28,21,20,11,-,25,-,-,30,-,17,19,-,-,14,-,-,20.5555556
1268,2025년01월18일,집현중앙로,상행,28,-,-,-,-,-,24,-,25,26,25,24,20,23,26,25,22,24,24,25,23,23,25,-,24.2352941
1269,2025년01월18일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,11,-,-,-,-,-,12.5
1339,2025년01월19일,집현중앙로,상행,-,-,-,-,-,-,-,-,25,23,23,23,24,23,25,25,25,24,23,24,28,22,24,-,24.0666667
1340,2025년01월19일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0
1410,2025년01월20일,집현중앙로,상행,-,-,-,-,-,-,-,25,19,23,16,-,26,24,24,27,26,21,22,22,22,26,27,23,23.3125
1411,2025년01월20일,집현중앙로,하행,-,-,-,-,-,-,-,26,21,25,10,-,-,19,-,-,21,-,-,-,-,-,-,-,20.3333333
1482,2025년01월21일,집현중앙로,상행,-,-,-,-,-,-,-,-,19,25,29,25,29,18,-,-,22,24,24,26,-,22,28,13,23.3846154
1483,2025년01월21일,집현중앙로,하행,-,-,-,-,-,-,-,-,25,18,-,-,-,-,-,-,22,-,-,-,-,-,-,-,21.6666667
1553,2025년01월22일,집현중앙로,상행,-,-,-,-,-,-,23,-,18,23,-,-,-,-,-,-,29,24,24,25,-,-,26,21,23.6666667
1554,2025년01월22일,집현중앙로,하행,-,-,-,-,-,-,-,22,23,18,-,-,-,-,-,-,17,-,14,22,-,-,-,21,19.5714286
1624,2025년01월23일,집현중앙로,상행,-,-,-,-,-,-,-,-,22,26,22,20,21,25,21,23,25,24,22,23,23,23,21,24,22.8125
1625,2025년01월23일,집현중앙로,하행,-,-,-,-,-,-,24,-,25,24,32,-,14,17,-,-,-,-,10,11,-,-,-,-,19.625
1695,2025년01월24일,집현중앙로,상행,-,-,-,-,-,-,29,23,21,23,27,28,24,24,22,23,24,25,24,22,24,23,22,22,23.8888889
1696,2025년01월24일,집현중앙로,하행,-,-,-,-,-,-,-,-,23,15,-,-,23,-,-,-,14,-,25,-,-,-,-,-,20.0
1766,2025년01월25일,집현중앙로,상행,30,-,-,30,-,-,-,-,-,22,27,24,27,25,25,23,21,25,22,22,24,23,21,-,24.4375
1767,2025년01월25일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,12,17,-,-,-,-,-,-,-,-,-,14.5
1837,2025년01월26일,집현중앙로,상행,24,-,-,-,-,-,-,-,-,28,17,23,24,23,23,25,23,26,21,26,22,21,22,24,23.25
1838,2025년01월26일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,10,-,-,-,-,-,-,-,10.0
1908,2025년01월27일,집현중앙로,상행,-,-,-,-,-,-,-,20,-,27,29,25,-,23,25,25,24,21,22,22,22,17,15,-,22.6428571
1909,2025년01월27일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,11.0
1979,2025년01월28일,집현중앙로,상행,-,-,-,-,-,-,14,-,-,-,-,22,24,19,25,23,23,23,23,22,19,22,-,-,21.5833333
2048,2025년01월29일,집현중앙로,상행,-,16,-,-,-,-,-,-,-,29,-,25,24,23,24,23,23,22,23,22,24,25,27,-,23.5714286
2118,2025년01월30일,집현중앙로,상행,25,-,-,-,-,-,-,-,26,-,-,25,23,22,23,23,24,23,24,20,25,24,23,-,23.5714286
2119,2025년01월30일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,26,-,-,-,-,-,22.0
2189,2025년01월31일,집현중앙로,상행,29,-,-,-,-,-,-,-,21,21,20,23,25,27,11,22,23,23,23,23,24,24,26,30,23.2352941
2190,2025년01월31일,집현중앙로,하행,-,-,-,-,-,-,-,-,19,13,-,-,15,-,-,12,-,12,18,-,-,11,-,-,14.2857143
2260,2025년02월01일,집현중앙로,상행,-,-,27,-,-,-,-,-,-,23,24,22,27,25,17,25,26,25,23,22,22,24,24,26,23.875
2261,2025년02월01일,집현중앙로,하행,-,-,-,-,-,-,-,-,25,-,15,-,28,-,-,-,26,-,-,-,-,-,-,-,23.5
2331,2025년02월02일,집현중앙로,상행,-,-,-,-,-,-,19,-,-,25,28,20,25,25,23,22,20,24,22,23,24,25,-,23,23.2
2332,2025년02월02일,집현중앙로,하행,-,-,-,-,-,-,-,-,28,-,-,-,-,-,13,11,-,-,22,-,-,-,-,-,18.5
2402,2025년02월03일,집현중앙로,상행,-,-,-,-,-,-,-,-,21,21,21,23,22,28,27,27,25,21,24,23,23,23,24,18,23.1875
2403,2025년02월03일,집현중앙로,하행,-,-,-,-,-,-,31,-,24,25,16,26,14,23,-,10,18,20,-,-,-,-,-,-,20.7
2473,2025년02월04일,집현중앙로,상행,-,-,-,-,-,-,-,22,21,22,22,25,24,22,20,21,22,23,23,23,27,26,25,26,23.1764706
2474,2025년02월04일,집현중앙로,하행,-,-,-,-,-,-,-,26,19,22,18,-,14,22,15,19,20,-,-,-,-,-,-,-,19.4444444
2544,2025년02월05일,집현중앙로,상행,33,-,-,-,-,-,26,23,21,23,26,29,23,21,21,23,20,21,24,24,24,23,29,28,24.3157895
2545,2025년02월05일,집현중앙로,하행,-,-,-,-,-,-,-,-,23,28,-,11,19,-,-,-,-,-,-,-,-,-,-,-,20.25
2615,2025년02월06일,집현중앙로,상행,-,-,-,-,-,-,-,25,22,23,18,26,27,25,20,24,24,23,23,27,25,23,21,24,23.5294118
2616,2025년02월06일,집현중앙로,하행,11,-,-,-,-,-,-,-,26,26,23,-,28,26,-,-,-,-,-,-,-,-,-,-,23.3333333
2686,2025년02월07일,집현중앙로,상행,-,-,-,-,-,-,-,-,21,21,22,18,23,23,18,20,21,22,23,23,22,22,-,23,21.4666667
2687,2025년02월07일,집현중앙로,하행,-,-,-,-,-,-,-,-,22,20,-,-,27,-,-,19,20,-,-,14,-,-,-,-,20.3333333
2757,2025년02월08일,집현중앙로,상행,-,-,-,-,-,-,-,-,24,23,26,23,23,25,25,23,23,23,22,24,22,24,21,32,23.9375
2758,2025년02월08일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,20,-,-,-,-,-,-,-,-,21.0
2828,2025년02월09일,집현중앙로,상행,-,-,-,-,-,-,-,-,-,20,25,23,23,25,21,25,24,23,25,24,25,21,21,-,23.2142857
2829,2025년02월09일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,28.0
2899,2025년02월10일,집현중앙로,상행,-,-,-,29,-,-,-,18,22,27,20,25,18,24,22,29,25,24,22,24,22,24,32,29,24.2222222
2900,2025년02월10일,집현중앙로,하행,-,-,-,-,-,-,34,25,22,-,-,28,-,-,-,-,29,42,10,18,-,-,-,-,26.0
2970,2025년02월11일,집현중앙로,상행,-,-,-,-,-,-,20,19,22,26,20,21,20,26,19,23,26,23,24,23,24,23,23,-,22.4705882
2971,2025년02월11일,집현중앙로,하행,-,-,-,-,-,-,-,-,23,28,-,-,17,20,-,-,-,-,-,-,-,-,-,-,22.0
3041,2025년02월12일,집현중앙로,상행,-,28,-,-,-,-,-,25,19,21,25,28,26,25,24,22,24,23,23,23,26,24,21,32,24.3888889
3042,2025년02월12일,집현중앙로,하행,-,-,-,-,-,-,23,-,20,-,12,-,-,-,-,-,22,-,-,-,-,-,-,-,19.25
3112,2025년02월13일,집현중앙로,상행,-,-,-,-,-,-,-,24,19,18,26,22,23,25,25,25,23,23,23,21,25,23,26,28,23.4705882
3113,2025년02월13일,집현중앙로,하행,-,-,-,-,-,-,19,-,24,26,-,-,-,10,14,10,19,23,-,-,-,-,-,-,18.125
3185,2025년02월14일,집현중앙로,상행,25,-,-,-,-,-,-,27,20,23,26,26,23,20,24,23,24,21,23,23,25,23,26,27,23.8333333
3186,2025년02월14일,집현중앙로,하행,-,-,-,-,-,-,-,-,19,29,-,-,27,-,-,18,-,17,-,-,14,-,-,-,20.6666667
3258,2025년02월15일,집현중앙로,상행,-,-,-,-,-,-,-,-,25,23,22,22,25,27,23,25,23,22,23,24,23,25,24,27,23.9375
3259,2025년02월15일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,21,-,25,-,-,-,-,-,-,-,11,-,-,-,-,19.0
3329,2025년02월16일,집현중앙로,상행,25,-,-,-,-,-,-,-,-,24,18,22,23,23,24,20,22,24,22,21,23,24,-,14,21.9333333
3330,2025년02월16일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,17,-,-,-,-,22,-,-,22.0
3400,2025년02월17일,집현중앙로,상행,-,24,-,-,-,-,18,28,23,23,19,26,21,24,24,24,23,26,24,21,25,-,18,24,23.0555556
3401,2025년02월17일,집현중앙로,하행,-,-,-,-,-,-,20,-,30,18,16,-,21,14,-,11,-,11,-,-,-,-,-,-,17.625
3471,2025년02월18일,집현중앙로,상행,23,-,-,-,-,-,33,-,19,21,21,28,25,22,27,22,23,22,23,22,23,-,23,20,23.3529412
3472,2025년02월18일,집현중앙로,하행,-,-,-,-,-,-,22,-,22,36,-,-,35,15,-,18,-,-,14,-,11,-,-,-,21.625
3544,2025년02월19일,집현중앙로,상행,-,20,-,-,-,-,25,-,26,29,24,-,22,25,22,26,25,25,24,24,27,24,27,24,24.6470588
3545,2025년02월19일,집현중앙로,하행,-,-,-,-,-,-,-,-,21,27,-,-,-,-,-,-,20,-,-,15,-,-,-,-,20.75
3617,2025년02월20일,집현중앙로,상행,-,-,-,-,-,-,20,-,25,23,23,24,24,26,22,23,23,23,23,21,24,22,30,23,23.4705882
3618,2025년02월20일,집현중앙로,하행,-,-,-,-,-,-,-,30,21,26,-,-,12,-,-,33,-,-,-,-,-,-,-,-,24.4
3688,2025년02월21일,집현중앙로,상행,29,-,-,-,-,-,26,29,25,22,23,22,25,28,24,24,27,22,24,22,25,22,25,28,24.8421053
3689,2025년02월21일,집현중앙로,하행,-,-,-,-,-,-,-,-,20,18,14,15,12,15,10,11,-,-,10,21,-,-,14,-,14.5454545
3759,2025년02월22일,집현중앙로,상행,26,-,-,-,-,-,-,-,-,24,21,24,23,23,20,21,24,22,24,23,23,25,23,25,23.1875
3760,2025년02월22일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0
3830,2025년02월23일,집현중앙로,상행,23,-,21,22,-,-,-,-,-,21,30,24,30,23,25,24,25,23,24,23,22,23,24,24,23.9444444
3831,2025년02월23일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,25,-,-,-,-,-,-,-,20.5
3901,2025년02월24일,집현중앙로,상행,-,-,-,-,-,-,-,-,19,24,-,26,24,25,20,23,23,23,24,25,24,23,27,-,23.5714286
3902,2025년02월24일,집현중앙로,하행,-,-,-,-,-,-,-,-,25,22,25,-,26,25,-,31,21,-,-,-,-,-,-,-,25.0
3972,2025년02월25일,집현중앙로,상행,-,-,-,-,-,-,25,-,21,28,27,24,24,21,22,22,23,23,24,24,25,21,26,24,23.7647059
3973,2025년02월25일,집현중앙로,하행,-,-,-,-,-,-,-,24,28,31,22,19,16,10,-,-,14,-,-,-,-,-,-,-,20.5
4043,2025년02월26일,집현중앙로,상행,-,-,-,-,-,-,33,13,22,23,21,25,24,25,21,24,21,24,23,24,23,22,25,29,23.4444444
4044,2025년02월26일,집현중앙로,하행,-,-,-,-,-,-,31,30,19,-,31,-,13,11,-,-,-,-,-,-,-,-,-,-,22.5
4116,2025년02월27일,집현중앙로,상행,-,-,-,-,-,-,-,22,21,24,22,22,20,21,25,27,24,24,23,24,23,24,23,24,23.1176471
4117,2025년02월27일,집현중앙로,하행,-,-,-,-,-,-,-,31,25,25,-,-,22,38,-,-,-,23,-,10,-,-,-,-,24.8571429
4189,2025년02월28일,집현중앙로,상행,-,-,-,-,-,-,-,24,26,30,22,24,24,23,23,24,23,25,23,22,25,21,24,23,23.8823529
4190,2025년02월28일,집현중앙로,하행,-,-,-,-,-,-,-,19,28,22,-,-,14,25,-,-,12,-,16,11,-,-,-,-,18.375
4262,2025년03월01일,집현중앙로,상행,-,-,27,-,-,-,-,17,21,23,28,26,22,23,23,27,22,25,24,24,21,26,25,18,23.4444444
4263,2025년03월01일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,13,12,-,-,-,-,-,-,-,10,-,-,-,-,-,11.6666667
4335,2025년03월02일,집현중앙로,상행,-,-,23,-,-,-,-,-,-,29,24,23,26,26,25,25,26,26,24,21,23,21,22,-,24.2666667
4336,2025년03월02일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,11.0
4406,2025년03월03일,집현중앙로,상행,-,-,-,25,-,-,-,28,19,22,26,22,21,22,26,26,23,25,23,23,25,25,26,17,23.5555556
4407,2025년03월03일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,22,-,-,-,-,-,18.0
4477,2025년03월04일,집현중앙로,상행,-,-,-,-,-,-,-,23,23,24,20,26,24,23,25,22,24,26,24,22,26,25,29,35,24.7647059
4478,2025년03월04일,집현중앙로,하행,-,-,-,-,-,-,-,34,21,28,25,-,20,18,22,12,-,-,-,10,-,-,-,-,21.1111111
4548,2025년03월05일,집현중앙로,상행,-,-,-,-,-,-,-,25,15,23,22,24,17,23,22,19,25,25,23,25,25,23,26,-,22.625
4549,2025년03월05일,집현중앙로,하행,-,-,-,-,-,-,-,22,21,22,-,-,27,25,-,24,19,17,11,-,-,-,-,-,20.8888889
4619,2025년03월06일,집현중앙로,상행,-,-,-,-,-,-,-,29,19,25,27,25,25,23,25,22,26,21,24,26,29,23,24,23,24.4705882
4620,2025년03월06일,집현중앙로,하행,-,-,-,-,-,-,20,14,20,15,22,20,26,33,-,15,11,-,11,13,-,-,-,-,18.3333333
4690,2025년03월07일,집현중앙로,상행,-,-,-,-,-,-,-,25,18,26,25,26,25,27,20,22,23,22,23,23,25,25,24,28,23.9411765
4691,2025년03월07일,집현중앙로,하행,-,-,-,-,-,-,15,14,18,24,18,-,23,10,11,12,15,-,-,-,-,-,-,-,16.0
4761,2025년03월08일,집현중앙로,상행,-,21,-,-,-,-,17,-,26,23,24,20,25,24,24,25,20,22,24,22,23,23,25,26,23.0
4762,2025년03월08일,집현중앙로,하행,12,-,-,-,-,-,-,10,-,15,-,13,10,24,-,-,26,18,-,-,-,-,-,-,16.0
4830,2025년03월09일,집현중앙로,상행,-,-,-,-,-,-,-,-,-,18,-,24,24,22,23,23,22,25,25,27,21,19,27,19,22.7857143
4831,2025년03월09일,집현중앙로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,12,-,-,-,-,-,-,-,11.5
4899,2025년03월10일,집현중앙로,상행,-,-,-,-,-,-,29,29,21,25,26,26,20,21,23,24,25,25,26,23,27,24,24,27,24.7222222
4900,2025년03월10일,집현중앙로,하행,-,-,-,-,-,-,20,35,22,20,12,-,18,18,19,11,17,-,-,-,-,-,-,-,19.2
4970,2025년03월11일,집현중앙로,상행,-,-,-,-,-,-,-,-,19,26,24,21,25,22,25,25,24,24,25,24,25,24,27,20,23.75
4971,2025년03월11일,집현중앙로,하행,-,-,-,-,-,-,31,30,19,25,-,-,-,11,19,-,-,-,-,-,-,-,-,-,22.5
5041,2025년03월12일,집현중앙로,상행,-,-,-,-,-,-,33,-,19,22,28,27,24,21,21,-,24,22,23,23,-,-,-,-,23.9166667
5042,2025년03월12일,집현중앙로,하행,-,-,-,-,-,-,-,28,25,22,10,-,-,23,21,-,12,22,12,13,-,-,-,-,18.8
5110,2025년03월13일,집현중앙로,상행,-,-,-,-,-,-,-,23,18,26,-,-,-,-,-,27,25,23,24,24,26,26,17,33,24.3333333
5111,2025년03월13일,집현중앙로,하행,-,-,-,-,-,-,-,25,24,24,-,-,-,-,-,-,13,-,13,-,-,-,-,-,19.8
5181,2025년03월14일,집현중앙로,상행,-,-,-,-,-,-,-,-,19,27,19,20,26,23,21,25,23,25,25,23,23,25,25,27,23.5
