Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
204,2025년01월03일,청연로,상행,-,-,-,-,-,-,-,43,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.5
205,2025년01월03일,청연로,하행,-,-,-,-,-,-,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.0
1412,2025년01월20일,청연로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,25.0
5815,2025년03월24일,청연로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,48,47,48,52,49,50,52,52,51,53,59,51.0
5816,2025년03월24일,청연로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,42,43,44,45,44,46,47,46,45,46,46,44.9090909
5886,2025년03월25일,청연로,상행,54,51,-,47,43,56,53,50,49,48,46,47,48,49,47,48,50,-,-,-,-,-,-,-,49.125
5887,2025년03월25일,청연로,하행,51,40,62,40,56,48,48,45,45,44,45,43,45,44,43,44,44,49,-,-,-,-,-,-,46.4444444
5955,2025년03월26일,청연로,상행,-,-,-,-,-,-,-,-,-,-,-,46,46,47,45,48,48,50,51,47,52,54,53,53,49.2307692
5956,2025년03월26일,청연로,하행,-,-,-,-,-,-,-,-,-,-,-,43,43,45,44,45,44,45,44,45,44,45,48,47,44.7692308
6028,2025년03월27일,청연로,상행,47,46,47,50,58,57,52,49,50,49,42,-,-,-,-,-,-,-,35,45,51,47,51,31,47.4705882
6029,2025년03월27일,청연로,하행,48,47,50,45,52,50,48,44,46,46,47,-,-,-,-,-,-,-,44,45,45,47,47,46,46.8823529
6099,2025년03월28일,청연로,상행,47,53,51,47,53,56,50,52,51,49,43,-,-,-,-,-,-,-,50,51,50,48,53,56,50.5882353
6100,2025년03월28일,청연로,하행,48,43,44,52,52,48,48,48,48,45,49,-,-,-,-,-,-,-,49,50,45,46,47,47,47.5882353
6170,2025년03월29일,청연로,상행,59,52,37,56,49,56,50,54,50,49,48,51,49,46,50,50,53,52,50,52,54,53,52,63,51.4583333
6171,2025년03월29일,청연로,하행,46,47,39,41,48,48,48,48,46,47,46,46,45,45,44,46,47,46,47,46,47,50,49,49,46.2916667
6240,2025년03월30일,청연로,상행,52,56,50,50,49,48,51,52,52,50,47,50,50,49,53,51,50,54,52,51,51,53,54,54,51.2083333
6241,2025년03월30일,청연로,하행,47,51,46,46,53,50,47,50,43,44,45,47,47,48,47,46,46,47,47,45,47,49,44,47,47.0416667
6309,2025년03월31일,청연로,상행,48,42,49,54,57,54,50,51,49,48,46,48,-,-,-,-,48,50,51,52,52,48,56,57,50.5
6310,2025년03월31일,청연로,하행,46,50,35,52,51,48,47,46,48,44,43,43,-,-,-,-,44,46,48,46,44,45,49,41,45.8
6380,2025년04월01일,청연로,상행,62,44,55,44,44,61,52,55,50,48,46,47,47,46,47,46,49,52,52,49,50,54,52,51,50.125
6381,2025년04월01일,청연로,하행,43,31,42,44,53,50,48,48,47,45,43,44,43,42,45,43,44,45,46,47,48,47,47,52,45.2916667
6451,2025년04월02일,청연로,상행,55,50,50,52,50,54,52,52,49,46,46,46,49,46,48,48,48,48,52,52,51,54,50,52,50.0
6452,2025년04월02일,청연로,하행,52,43,40,56,40,48,49,46,45,43,44,43,44,42,42,44,44,45,47,50,46,48,46,52,45.7916667
6522,2025년04월03일,청연로,상행,60,53,52,60,60,52,51,52,50,49,48,47,48,47,47,48,49,52,48,50,46,49,52,55,51.0416667
6523,2025년04월03일,청연로,하행,46,38,46,58,54,49,47,46,47,44,44,44,44,41,42,44,45,46,45,45,48,48,47,48,46.0833333
6593,2025년04월04일,청연로,상행,52,48,59,37,59,42,43,49,48,46,46,47,47,47,48,48,48,50,50,51,49,47,50,54,48.5416667
6594,2025년04월04일,청연로,하행,62,38,41,38,54,43,46,46,46,44,44,43,43,44,42,43,46,46,45,46,45,48,46,47,45.25
6663,2025년04월05일,청연로,상행,57,53,49,46,52,50,50,51,50,49,46,42,45,46,45,45,48,49,35,30,43,43,53,54,47.125
6664,2025년04월05일,청연로,하행,54,46,43,43,45,51,51,47,47,44,43,37,39,44,42,44,46,46,45,48,45,47,42,47,45.25
6733,2025년04월06일,청연로,상행,54,47,55,49,41,55,54,51,51,50,49,50,48,48,50,51,49,54,51,48,51,51,54,53,50.5833333
6734,2025년04월06일,청연로,하행,48,40,40,39,40,49,50,47,47,47,43,46,46,45,45,46,46,47,47,46,47,46,43,52,45.5
