Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
62,2025년01월01일,충현로,상행,39,38,40,35,39,37,35,37,36,37,36,36,33,33,35,35,34,33,35,37,36,39,36,38,36.2083333
63,2025년01월01일,충현로,하행,38,41,39,34,43,37,37,36,38,40,38,37,34,37,37,35,35,36,36,36,36,41,38,42,37.5416667
133,2025년01월02일,충현로,상행,40,39,41,33,37,41,37,36,36,34,36,33,34,33,34,33,32,32,35,36,36,35,37,39,35.7916667
134,2025년01월02일,충현로,하행,41,46,39,38,35,39,36,36,38,37,35,37,34,36,35,34,35,35,36,37,36,38,39,38,37.0833333
206,2025년01월03일,충현로,상행,36,40,39,39,35,37,37,35,35,36,34,34,34,33,34,34,32,34,33,35,35,35,36,36,35.3333333
207,2025년01월03일,충현로,하행,40,37,43,38,41,39,38,34,37,38,36,36,35,36,36,35,33,35,35,37,35,34,38,39,36.875
276,2025년01월04일,충현로,상행,35,36,38,43,35,33,35,35,34,34,34,36,35,32,34,34,34,33,34,35,34,36,38,36,35.125
277,2025년01월04일,충현로,하행,37,41,39,43,39,39,39,39,38,37,37,36,35,36,37,34,33,35,35,36,36,35,38,39,37.2083333
347,2025년01월05일,충현로,상행,37,38,38,41,34,31,35,40,35,36,34,33,32,35,32,32,32,32,32,35,36,37,37,36,35.0
348,2025년01월05일,충현로,하행,38,41,43,36,39,37,37,38,38,38,34,34,34,34,33,32,33,34,35,37,35,39,39,39,36.5416667
418,2025년01월06일,충현로,상행,39,40,42,35,37,35,36,34,32,33,31,31,29,32,33,33,31,34,34,37,35,36,37,38,34.75
419,2025년01월06일,충현로,하행,41,38,43,31,36,36,35,35,36,35,33,34,33,36,36,34,34,35,35,37,37,36,36,37,35.7916667
489,2025년01월07일,충현로,상행,36,37,38,31,38,35,37,34,32,34,34,35,33,34,33,33,31,33,34,35,37,36,37,38,34.7916667
490,2025년01월07일,충현로,하행,39,42,37,35,39,39,36,34,36,35,36,34,34,34,35,35,35,34,35,35,36,35,37,38,36.0416667
