Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
64,2025년01월01일,평기길,상행,58,39,47,-,60,52,56,48,50,46,43,43,45,44,43,47,50,49,46,42,47,41,54,-,47.7272727
65,2025년01월01일,평기길,하행,55,60,50,47,56,-,50,55,51,51,52,55,49,50,49,50,54,52,55,47,60,53,54,50,52.3913043
135,2025년01월02일,평기길,상행,46,-,-,-,-,53,46,46,52,46,47,43,46,50,45,43,46,49,45,44,47,51,55,44,47.2
136,2025년01월02일,평기길,하행,55,48,49,52,55,54,47,54,52,55,54,52,50,52,55,53,56,57,54,53,55,53,56,51,53.0
208,2025년01월03일,평기길,상행,-,40,50,-,55,49,48,46,52,48,43,42,49,42,42,45,49,48,46,45,48,42,47,50,46.6363636
209,2025년01월03일,평기길,하행,-,-,59,49,53,61,55,51,59,55,53,50,49,50,49,57,53,53,54,50,54,66,55,41,53.4545455
278,2025년01월04일,평기길,상행,50,-,-,-,47,50,49,44,46,43,44,43,43,47,45,48,49,47,47,44,44,49,41,35,45.4761905
279,2025년01월04일,평기길,하행,46,48,62,39,63,44,47,52,54,55,54,52,49,54,51,55,56,56,54,55,54,60,58,57,53.125
349,2025년01월05일,평기길,상행,54,-,54,60,43,51,53,47,47,42,44,42,43,42,46,39,41,44,41,44,38,52,49,62,46.8695652
350,2025년01월05일,평기길,하행,43,-,60,42,53,47,58,58,46,45,52,48,46,53,51,47,45,49,51,57,52,47,49,61,50.4347826
420,2025년01월06일,평기길,상행,54,36,31,40,54,44,42,44,50,51,47,46,48,47,47,46,49,47,48,54,46,43,50,50,46.4166667
421,2025년01월06일,평기길,하행,55,46,48,44,37,47,45,53,55,63,52,52,50,50,52,53,58,54,53,51,52,56,57,49,51.3333333
491,2025년01월07일,평기길,상행,-,50,37,60,50,49,47,49,52,48,46,46,44,46,44,48,47,51,48,50,48,44,49,54,48.1304348
492,2025년01월07일,평기길,하행,49,71,54,48,62,52,53,54,56,56,55,53,51,55,50,55,54,56,51,55,52,57,61,67,55.2916667
562,2025년01월08일,평기길,상행,-,44,-,40,39,41,44,43,49,46,43,44,43,46,43,41,45,48,45,43,41,43,42,-,43.4761905
563,2025년01월08일,평기길,하행,-,62,50,56,42,38,50,43,52,49,53,52,48,56,52,46,50,54,51,48,46,47,58,40,49.6956522
633,2025년01월09일,평기길,상행,-,-,24,36,31,39,38,41,44,40,44,44,46,48,44,49,46,48,49,42,48,42,47,54,42.9090909
