Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
66,2025년01월01일,한누리대로,상행,32.1818,32.8182,37,40.5556,42.625,39.4,37.3333,31.5,31,28.25,28.25,29.9167,27.75,30.875,29.6667,32.125,26.125,30.5833,30.1667,29.1818,30.5455,30.5455,31.8182,32.3,32.1880542
67,2025년01월01일,한누리대로,하행,37.1,39.3,38.8889,42.7778,42,38.2727,33.3,32.6364,33.0909,33.5833,33.3333,34.5833,30.0909,33.8333,30.625,32.75,34.625,35.9375,31.4375,31.4375,31.8182,33,38.9091,41.125,35.18565
137,2025년01월02일,한누리대로,상행,35,43.125,38.625,43,39.2,40.6364,32.9167,34.6875,29.8125,28.8125,28,31.1667,28.1667,29.625,25.5,26.0625,32.3125,30.25,29,29,29.25,29.8182,33.4545,34.5455,32.5819667
138,2025년01월02일,한누리대로,하행,37.875,40.7778,49.6667,41.5714,38.8889,36.3636,34,31.9167,29.5833,28.4375,35.5,29.4167,30.5,35.4375,32.1667,30.9167,31.5833,31.4375,29.1875,30.25,32.125,29.9375,31,34.125,33.8610125
210,2025년01월03일,한누리대로,상행,36.7,43,42.2,45.1111,44.7,39.3,31.3333,26.5625,27.375,28.25,30.1667,31.8333,31.5,30.3333,30.1667,30.8125,31.6875,24,26.375,29.4375,31.25,28.6364,30.2727,34,32.7084792
211,2025년01월03일,한누리대로,하행,34.5,37.875,43.3333,38.5714,37.1111,38.7,35,32.6667,29.6667,30.1875,34.6667,27.875,32.25,32.4167,32.5833,35,27.6875,30.0625,30.8125,26.0625,26.375,35.25,36,33.3636,33.2507083
280,2025년01월04일,한누리대로,상행,35.1875,36.6364,37,43.2857,40.75,39.7,36.5833,28.6875,33,33.3333,27.25,27.9375,25.5625,24.1875,30.4375,33.8125,30,30.875,31.4375,30.6667,30.1667,30.7273,33.0833,31.8182,32.5885792
281,2025년01월04일,한누리대로,하행,37.3636,37.1111,39.1429,43.6667,34.3333,41.4,38.2727,34.25,35.8333,26.875,33.9375,30.6667,31.8333,27.0625,28.4375,29.3125,31.5625,33.4167,34.75,33.0625,36.375,36,37.9167,38.2727,34.6189458
351,2025년01월05일,한누리대로,상행,35.9,36.9,36.0909,48.625,41.1429,38.9,39.5,33.8125,37.5833,31.7273,32.5,31.5,24,26.1875,30.9375,30,30.8333,27.3125,31.1875,27.4545,28.9091,29.7273,31,35.8182,33.2312208
352,2025년01월05일,한누리대로,하행,39,39.875,34.7778,39.25,36.625,33.3333,37.3333,33.8125,37.1667,31.3333,32.4545,30,32.625,28,31.25,29.4545,28.8125,33.875,29.1875,31.4545,29.375,34.8333,36,35.3,33.5470292
422,2025년01월06일,한누리대로,상행,39.1111,41.7143,39.7143,45.5,35,36.7,34,32.0833,26.4375,29.5625,30,31.6667,31.3125,31.875,30.1667,27.25,31.75,28.5,27.5,26.875,31.8333,32.3333,33.5833,33.6364,32.8377167
423,2025년01월06일,한누리대로,하행,39.25,39.625,45.75,33.6667,38.25,36.0833,33.6667,32.4167,28.3125,35.9375,31.6667,30.1667,31.1667,31.25,26,30.1875,27.5,34.625,29.3125,28.0625,35.5,34.25,28.75,34,33.1415
493,2025년01월07일,한누리대로,상행,41.6,43.6667,43.6667,43.6,38.125,39.6,33.5455,34.6875,29.5,29.25,30,29.8125,33.3333,28.4375,24.625,27.375,28.1875,29.0833,27,30.8333,30.5,28.6364,32.0909,34.2727,32.9762
494,2025년01월07일,한누리대로,하행,40.75,35.375,39.5714,40.5,34.5556,40.8,33.1667,33.3333,32.1875,28.625,32.0833,33,28.6667,30.75,27.8125,28.125,32.4375,29.125,31.75,28.5,35.0625,27.375,32.0909,34.3636,32.9169375
564,2025년01월08일,한누리대로,상행,33.3636,39.5,39.5,40.2222,36.9091,37.7,34.8333,32.25,27.875,30,30.8333,25.625,30.5833,30.6667,28.3125,30.625,31.125,30.75,26.3125,28.6667,30.5,29.6364,29.8182,31.1667,31.9489375
565,2025년01월08일,한누리대로,하행,37.5455,42.1111,37.75,41.8571,35.1111,37.7,32.3333,32.25,29.3125,27,31.5833,31.4167,28.1875,29.5625,29.4375,27.0625,30.1667,28.1875,28,29.5625,25.375,29.7273,33.375,31.9091,31.9384875
635,2025년01월09일,한누리대로,상행,30.6364,37,37.5556,37.4286,34,37.1,29.8125,31.5625,26.5,26.9375,30.6667,32.4375,30.75,23.8125,27.125,25.9375,29.1667,25.4375,26.3125,26.5833,26.5,28.0909,32.4167,34.5833,30.34805
636,2025년01월09일,한누리대로,하행,28.3,39,41.75,37.125,36.5,37.3,35.3333,30.8333,30.75,28.75,33,32.4167,30.6667,27.75,30.8333,26.5,29,24.6875,26.625,26.4375,24.125,32,25.25,31.2727,31.0919167
706,2025년01월10일,한누리대로,상행,34.3636,37.7,40.625,37.1667,40.4,38.3636,35.0833,30.5625,26.9375,29.375,31.3333,27.75,27.375,25.125,30.125,27,30.25,23.875,25.0625,30.6875,27.4167,23.9375,30.2727,31.3636,30.9229583
707,2025년01월10일,한누리대로,하행,34.7,36.2222,32,37.6667,39.125,35.6364,35,31.0833,27.3125,28.125,27.1875,30.8125,32.125,30,30.8333,30,26.1875,30.9375,31.4375,29.0625,33.25,30.1875,33.5455,35,31.9765583
777,2025년01월11일,한누리대로,상행,31.5455,38.7273,36.375,38.625,39.6667,35.5,33.4167,31.75,32.75,27.6875,30.6875,22.9375,32.4375,29.375,27.2727,25.8125,29,28.5625,26.8182,23.625,28.2727,27.7273,30.1818,32.9167,30.9029417
778,2025년01월11일,한누리대로,하행,36.4545,38.375,41.8889,43.1429,40.375,37.625,32.7273,35.25,31.4375,32.875,29.75,31.6667,31.4167,32.5,31.25,33.8125,32.5,27.1875,26.8125,32.125,28.0625,32.3636,32.2727,35.0909,33.6234042
848,2025년01월12일,한누리대로,상행,36.3,39.2,38.2222,42.7143,46.1429,35.8,33.5455,33.7273,33.3636,27.75,29.5455,28.6875,27.5625,27.875,29.25,29.1875,31.3125,28.8125,27.0833,28.3636,28.8182,30.7273,31.6364,35.3333,32.5400375
849,2025년01월12일,한누리대로,하행,37.1111,34.8,43.75,40,37.75,37.875,35.7,37.4545,35.3125,33.4167,30.9375,33.3333,32.75,31.3125,32.5625,33.4375,33.5,30.5833,26.5,30.7273,31.125,35.0909,38.5455,35,34.5239625
919,2025년01월13일,한누리대로,상행,32,33.25,37.7,37.1667,38,37.2727,32.3333,26.625,30.125,28.25,31.8333,29.1875,30.4167,31.8125,26.125,30,26.5,28.3125,28,33.25,30.9167,34.3125,33.9167,33.4545,31.6983583
920,2025년01월13일,한누리대로,하행,38.625,38,38.75,48.2,40.125,40.4545,32.8333,34.25,30.6875,30.9375,30.5,33.875,31.8333,31.9167,34.0625,31.625,33.4375,32.5,28.6875,29.1875,36.6875,32.9091,32.4545,37.6667,34.5919
990,2025년01월14일,한누리대로,상행,37.1818,43.4,42.3,38.125,37.8889,37.8182,31.5833,35.5,28.1875,30.25,30.125,28.1667,32.0833,33.125,26.75,26.3125,29.3125,32.5625,28.625,28.4375,31.5833,33.5833,31.6364,34.1818,32.8633125
991,2025년01월14일,한누리대로,하행,36.5,37.875,40,39.75,34.5556,39.9091,33.4545,33.9167,31.6875,30.125,32.3333,31.5833,32.1667,31.75,30.5625,31.75,30.5,35.4375,27.8125,32,27.3125,26.5625,33.625,44.4,33.5653833
1061,2025년01월15일,한누리대로,상행,36.8182,41.5,35.5,36.875,43.625,39.4167,38.6667,27.9375,28.75,25.0625,30,29,29.3125,28.4375,30.5,29,31.5625,27,23.875,29,30.9167,26.8333,32.0833,52,32.6530167
1062,2025년01월15일,한누리대로,하행,31.4,39.5714,38.75,40.25,41.2857,38.9167,37.9167,32.3333,32.25,29.875,25.0625,29.125,33.125,32.3333,31.75,32.25,31.625,30.4375,31.125,27.25,28.3333,32.75,33.1818,49.5,33.76655
1132,2025년01월16일,한누리대로,상행,38.2727,38.4444,43.9,38.4,41.7778,35.9,32.0625,25.25,30.1875,27.4375,30.25,25.4375,25.8125,32,27.1875,30.4167,29.75,29.3333,27.875,26.6875,31.1667,32.25,34.1667,32.1818,31.9228167
1133,2025년01월16일,한누리대로,하행,32.2727,39,39.375,43.4,38.8889,39.9,35.9167,34,34.8125,31.4375,34.8125,26.1875,31.4167,33,25.5,28.9375,31.6667,31.75,30.875,29.75,35,31.2727,34.1818,27.625,33.3741125
