Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
7370,2025년04월15일,행복길,상행,-,-,-,-,-,-,-,-,-,-,-,20,20,18,20,24,16,17,17,15,17,19,15,20,18.3076923
7371,2025년04월15일,행복길,하행,-,-,-,-,-,-,-,-,-,-,-,18,19,18,17,17,17,15,14,14,14,15,14,21,16.3846154
7449,2025년04월16일,행복길,상행,13,19,-,12,25,13,28,17,21,18,19,19,18,19,17,16,17,13,12,15,15,13,16,24,17.3478261
7450,2025년04월16일,행복길,하행,31,-,11,33,24,25,23,16,15,18,19,17,17,15,16,18,16,15,17,15,13,14,17,22,18.5652174
7530,2025년04월17일,행복길,상행,21,26,27,15,-,25,26,17,17,18,18,17,16,19,20,15,16,16,13,14,15,15,18,22,18.5217391
7531,2025년04월17일,행복길,하행,33,26,32,24,26,16,20,18,15,16,18,19,21,19,19,18,16,16,16,14,16,17,15,16,19.4166667
7614,2025년04월18일,행복길,상행,23,-,19,13,20,20,18,16,17,19,19,15,17,21,18,15,14,14,13,12,15,15,16,16,16.7391304
7615,2025년04월18일,행복길,하행,-,-,-,-,15,19,20,18,14,19,18,18,17,17,19,16,15,17,13,14,13,15,14,18,16.45
7700,2025년04월19일,행복길,상행,13,25,12,12,11,20,15,20,17,16,17,16,15,16,16,18,15,14,14,14,15,19,21,18,16.2083333
7701,2025년04월19일,행복길,하행,19,22,19,-,-,20,22,19,19,16,16,15,17,19,16,16,15,16,14,15,14,14,17,14,17.0
7784,2025년04월20일,행복길,상행,14,19,-,-,-,19,16,20,20,16,16,18,18,16,18,16,15,17,14,16,16,20,19,19,17.2380952
7785,2025년04월20일,행복길,하행,19,25,11,-,21,-,22,25,20,19,18,18,17,15,15,16,16,18,15,19,19,19,19,30,18.9090909
7868,2025년04월21일,행복길,상행,17,20,-,-,23,18,20,15,15,19,20,17,21,20,18,17,17,17,15,15,15,16,18,18,17.7727273
7869,2025년04월21일,행복길,하행,24,-,-,-,-,21,22,18,16,19,17,21,19,18,19,17,15,17,15,14,16,15,18,26,18.35
7954,2025년04월22일,행복길,상행,19,-,-,11,21,31,18,16,16,18,18,17,17,16,18,18,16,17,14,17,16,17,19,22,17.8181818
7955,2025년04월22일,행복길,하행,33,16,18,15,-,25,22,15,14,18,18,16,18,18,18,16,15,15,14,16,15,17,19,17,17.7391304
