Unnamed: 0,일자,도로명,방향,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,평균통행속도
3122,2025년02월13일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60.0
3123,2025년02월13일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60.0
3195,2025년02월14일,허만석로,상행,60,57,59,59,60,60,60,60,60,60,60,60,-,-,60,60,60,-,-,-,-,-,-,-,59.6666667
3196,2025년02월14일,허만석로,하행,59,59,59,59,60,60,60,60,60,60,60,60,-,-,60,60,60,-,-,-,-,-,-,-,59.7333333
3481,2025년02월18일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,58,56,60,60,60,60,60,60,60,59.4545455
3482,2025년02월18일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,59,59.9090909
3554,2025년02월19일,허만석로,상행,60,59,60,59,59,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,-,-,59.7857143
3555,2025년02월19일,허만석로,하행,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,-,-,60.0
4053,2025년02월26일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,59,55,60,60,60,60,60,60,59,59.3636364
4054,2025년02월26일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,59,59.9090909
4126,2025년02월27일,허만석로,상행,59,60,60,57,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,-,-,59.7142857
4127,2025년02월27일,허만석로,하행,60,58,60,60,60,59,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,-,-,59.7857143
4199,2025년02월28일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60.0
4200,2025년02월28일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60.0
4272,2025년03월01일,허만석로,상행,60,60,60,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,59.8888889
4273,2025년03월01일,허만석로,하행,60,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,59.9444444
4556,2025년03월05일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60.0
4557,2025년03월05일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60.0
4627,2025년03월06일,허만석로,상행,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-,60,60,60,60,60,60,60,60,60.0
4628,2025년03월06일,허만석로,하행,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,-,60,60,60,60,60,60,60,59,59.9130435
4698,2025년03월07일,허만석로,상행,60,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,59.9411765
4699,2025년03월07일,허만석로,하행,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,59.9411765
4907,2025년03월10일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60,59,59.9230769
4908,2025년03월10일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60,60,60.0
4978,2025년03월11일,허만석로,상행,59,58,59,58,59,60,60,60,60,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,59.3636364
4979,2025년03월11일,허만석로,하행,60,60,59,58,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,59.7272727
5118,2025년03월13일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60.0
5119,2025년03월13일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60.0
5189,2025년03월14일,허만석로,상행,60,57,59,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,59.75
5190,2025년03월14일,허만석로,하행,60,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,59.875
5394,2025년03월17일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60.0
5395,2025년03월17일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60.0
5463,2025년03월18일,허만석로,상행,60,60,59,59,57,59,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,59.6470588
5464,2025년03월18일,허만석로,하행,60,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,59.7647059
5599,2025년03월20일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60.0
5600,2025년03월20일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60.0
5668,2025년03월21일,허만석로,상행,60,60,60,58,59,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,59.8125
5669,2025년03월21일,허만석로,하행,60,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,-,-,-,-,-,-,-,-,59.9375
5963,2025년03월26일,허만석로,상행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,59,59.875
5964,2025년03월26일,허만석로,하행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,60,60.0
